Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,52.20,52.60,51.59,52.02,4079600,52.02
2014-12-01,52.66,53.91,49.19,52.00,3936000,52.00
2014-11-03,47.24,53.54,47.05,52.68,3008900,52.68
2014-10-01,51.17,51.32,41.63,47.00,4830600,46.78
2014-09-02,49.98,52.36,49.51,51.10,2521900,50.86
2014-08-01,46.33,50.30,46.12,49.86,2730800,49.63
2014-07-01,44.29,48.84,44.15,46.40,3469400,45.96
2014-06-02,44.89,45.38,43.41,44.11,2753100,43.69
2014-05-01,43.74,44.98,42.90,44.94,2544500,44.52
2014-04-01,43.42,45.40,41.72,43.73,4272500,43.09
2014-03-03,40.14,43.60,39.53,43.39,4055100,42.75
2014-02-03,39.28,40.97,37.92,40.60,5440200,40.00
2014-01-02,43.22,43.58,38.96,39.48,5172700,38.67
2013-12-02,40.33,43.99,40.15,43.40,4358000,42.51
2013-11-01,41.03,42.14,39.87,40.25,5482800,39.42
2013-10-01,36.80,41.74,36.01,40.90,4440400,39.88
2013-09-03,35.43,37.41,35.30,36.84,3299800,35.92
2013-08-01,36.72,38.81,34.21,35.21,4317600,34.33
2013-07-01,34.11,36.85,34.11,36.47,3184500,35.37
2013-06-03,32.31,34.22,31.90,33.91,3620900,32.89
2013-05-01,33.79,35.04,32.23,32.23,4373600,31.26
2013-04-01,33.73,34.28,31.50,33.94,4901400,32.73
2013-03-01,31.70,33.77,31.39,33.73,3949200,32.53
2013-02-01,28.80,33.10,28.31,31.86,7102700,30.73
2013-01-02,28.14,29.29,27.90,28.53,4333300,27.35
2012-12-03,26.78,28.12,26.37,27.39,4869400,26.26
2012-11-01,26.98,27.34,24.38,26.70,6069100,25.60
2012-10-01,27.31,29.23,26.52,26.84,5149500,25.55
2012-09-04,26.80,27.80,26.49,27.18,4886900,25.87
2012-08-01,26.19,27.06,25.02,26.75,5134300,25.47
2012-07-02,28.95,29.33,25.96,26.09,5810800,24.67
2012-06-01,31.35,32.70,28.55,29.52,5605700,27.91
2012-05-01,31.34,33.98,30.98,31.88,5396600,30.14
2012-04-02,31.67,32.49,30.14,30.83,3964300,29.00
2012-03-01,31.41,32.36,30.38,31.66,4105600,29.78
2012-02-01,29.26,32.05,28.80,31.20,5714000,29.35
2012-01-03,29.19,30.34,28.11,28.63,5232400,26.78
