Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,82.98,84.18,82.52,83.29,3733200,83.29
2014-12-01,85.18,86.54,82.04,83.37,2037300,83.37
2014-11-03,81.50,86.26,81.48,85.64,2073100,85.15
2014-10-01,73.03,81.99,70.50,81.78,2397700,81.31
2014-09-02,83.68,84.68,81.80,83.08,1577300,72.52
2014-08-01,80.87,84.23,79.81,83.48,1400000,72.45
2014-07-01,79.62,82.69,79.20,81.31,1401100,70.57
2014-06-02,79.65,80.37,77.92,79.28,1817500,68.81
2014-05-01,77.97,79.88,76.45,79.68,1775600,68.74
2014-04-01,77.05,78.35,73.38,77.96,2216700,67.25
2014-03-03,77.05,79.39,75.55,77.26,2260000,66.65
2014-02-03,76.61,78.47,71.91,77.78,2708400,66.68
2014-01-02,80.17,83.00,75.94,76.60,2032500,65.67
2013-12-02,79.95,81.55,76.62,80.80,2202100,69.27
2013-11-01,75.35,83.82,74.74,80.02,2298000,68.19
2013-10-01,72.58,76.66,69.91,75.03,1834900,63.93
2013-09-03,71.98,74.95,69.76,72.38,2296800,61.68
2013-08-01,70.51,73.08,69.89,71.16,1851700,60.28
2013-07-01,68.83,73.83,68.75,72.09,2034200,61.07
2013-06-03,68.66,69.98,67.16,68.86,2284900,58.33
2013-05-01,67.39,72.00,66.60,68.72,2429700,57.84
2013-04-01,64.66,67.35,63.30,67.34,1817900,56.68
2013-03-01,61.29,65.12,60.69,65.03,2389000,54.73
2013-02-01,59.88,61.83,59.48,61.36,2416400,51.29
2013-01-02,58.06,60.34,57.75,59.29,2293200,49.56
2012-12-03,57.00,58.56,55.99,56.93,2176200,47.58
2012-11-01,58.72,59.75,54.02,56.74,2494800,47.07
2012-10-01,58.54,59.96,57.31,57.79,2162500,47.94
2012-09-04,57.86,59.50,57.04,58.66,2541400,48.66
2012-08-01,56.74,58.79,55.28,58.08,1821200,47.86
2012-07-02,55.39,57.99,54.85,56.55,2431100,46.60
2012-06-01,51.39,55.73,50.89,55.66,2751400,45.86
2012-05-01,55.29,55.85,51.69,52.15,2685300,42.64
2012-04-02,55.10,56.19,53.78,55.62,2336400,45.48
2012-03-01,54.60,55.84,53.64,55.19,2513300,45.13
2012-02-01,55.26,55.68,53.31,54.32,2898500,44.09
2012-01-03,54.89,57.10,54.13,54.78,3053000,44.47
