Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,15.44,15.44,15.44,15.44,000,15.44
2014-12-01,15.62,15.78,15.05,15.51,000,15.51
2014-11-03,15.77,16.05,15.50,15.68,000,15.68
2014-10-01,15.47,15.82,14.74,15.82,000,15.31
2014-09-02,16.08,16.11,15.61,15.63,000,15.12
2014-08-01,15.78,16.14,15.65,16.12,000,15.60
2014-07-01,16.32,16.41,15.89,15.89,000,15.38
2014-06-02,16.07,16.28,16.06,16.21,000,15.68
2014-05-01,15.69,16.07,15.63,16.07,000,15.55
2014-04-01,15.63,15.66,15.21,15.64,000,15.13
2014-03-03,15.24,15.54,15.11,15.54,000,15.04
2014-02-03,14.49,15.45,14.49,15.45,000,14.95
2014-01-02,15.15,15.30,14.79,14.79,000,14.31
2013-12-02,14.90,15.34,14.58,15.34,000,14.84
2013-11-01,14.92,15.16,14.84,14.95,000,14.47
2013-10-01,14.53,15.08,14.17,14.97,000,14.15
2013-09-03,13.96,14.71,13.96,14.44,000,13.65
2013-08-01,14.25,14.28,13.88,13.88,000,13.12
2013-07-01,13.59,14.11,13.53,14.09,000,13.32
2013-06-03,13.71,13.78,13.20,13.47,000,12.74
2013-05-01,13.32,13.95,13.32,13.62,000,12.88
2013-04-01,12.99,13.37,12.81,13.37,000,12.64
2013-03-01,12.71,13.05,12.71,13.02,000,12.31
2013-02-01,12.63,12.78,12.48,12.69,000,12.00
2013-01-02,12.19,12.53,12.15,12.53,000,11.85
2012-12-03,11.88,12.16,11.86,11.97,000,11.32
2012-11-01,11.72,11.90,11.44,11.89,000,11.15
2012-10-01,11.66,11.90,11.54,11.59,000,10.87
2012-09-04,11.29,11.80,11.29,11.58,000,10.86
2012-08-01,10.89,11.35,10.79,11.31,000,10.61
2012-07-02,10.81,11.00,10.50,10.90,000,10.23
2012-06-01,10.09,10.76,10.09,10.76,000,10.09
2012-05-01,11.11,11.11,10.27,10.29,000,9.65
2012-04-02,11.18,11.18,10.69,11.04,000,10.36
2012-03-01,10.94,11.22,10.67,11.07,000,10.38
2012-02-01,10.53,10.87,10.53,10.83,000,10.16
2012-01-03,10.30,10.50,10.14,10.37,000,9.73
