Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,89.30,96.36,85.72,90.40,1168800,90.40
2014-11-03,83.06,91.40,81.72,89.72,1102000,89.72
2014-10-01,71.93,84.30,65.91,82.50,1316700,82.50
2014-09-02,71.45,73.35,65.99,72.16,1142300,72.16
2014-08-01,61.03,72.21,61.03,71.22,1020600,71.22
2014-07-01,62.70,65.99,55.36,61.82,1318700,61.82
2014-06-02,58.12,67.11,57.08,62.21,1313700,62.21
2014-05-01,57.89,61.05,55.50,57.96,1544000,57.96
2014-04-01,68.53,70.42,55.04,58.23,1863700,58.23
2014-03-03,80.19,82.15,65.49,68.21,1768400,68.21
2014-02-03,68.89,84.25,64.61,81.00,1793900,81.00
2014-01-02,70.11,74.35,66.72,68.88,1006900,68.88
2013-12-02,70.53,71.50,67.11,70.35,846700,70.35
2013-11-01,63.16,72.07,58.65,70.43,2055800,70.43
2013-10-01,72.41,76.02,61.83,62.88,1977600,62.88
2013-09-03,66.50,80.67,66.05,72.17,2350500,72.17
2013-08-01,64.65,67.04,62.27,65.47,775700,65.47
2013-07-01,56.69,65.75,56.31,64.65,1198900,64.65
2013-06-03,62.00,62.73,53.53,55.74,1632000,55.74
2013-05-01,65.00,71.56,62.09,62.70,2009100,62.70
2013-04-01,62.47,66.63,60.00,65.60,1162200,65.60
2013-03-01,57.90,62.96,57.90,62.26,1455300,62.26
2013-02-01,54.89,58.33,53.14,57.97,1192400,57.97
2013-01-02,50.00,55.70,49.71,54.89,1316500,54.89
2012-12-03,48.95,50.48,46.53,49.20,857900,49.20
2012-11-01,37.29,52.96,36.28,48.50,2130900,48.50
2012-10-01,40.34,43.53,36.80,37.01,1820200,37.01
2012-09-04,37.45,41.23,37.15,40.26,1127000,40.26
2012-08-01,39.49,39.75,36.50,37.34,1475900,37.34
2012-07-02,39.89,44.18,38.55,39.29,1766900,39.29
2012-06-01,35.26,39.64,34.30,39.58,1982900,39.58
2012-05-01,34.74,39.29,34.45,35.64,1711400,35.64
2012-04-02,34.24,35.55,31.91,34.70,990200,34.70
2012-03-01,35.97,36.12,33.61,34.25,884700,34.25
2012-02-01,36.00,38.95,34.53,35.75,1541000,35.75
2012-01-03,34.48,37.82,33.93,35.64,1046900,35.64
