Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,59.21,61.77,57.60,59.03,6115400,59.03
2014-11-03,58.31,59.72,57.35,59.05,5862400,58.68
2014-10-01,51.01,59.03,47.55,58.19,9210800,57.83
2014-09-02,50.62,52.17,49.70,51.18,5580000,50.51
2014-08-01,50.79,50.97,48.51,50.65,5031100,49.98
2014-07-01,48.51,51.34,47.34,50.62,7263600,49.95
2014-06-02,49.90,50.00,46.30,48.51,10954400,47.52
2014-05-01,49.95,52.49,48.10,49.74,8682400,48.72
2014-04-01,52.23,52.39,47.42,50.09,8888100,49.06
2014-03-03,53.17,57.49,50.16,51.95,9108700,50.53
2014-02-03,50.13,54.96,47.52,53.77,8858700,52.30
2014-01-02,52.52,56.83,49.45,49.97,11124800,48.61
2013-12-02,51.29,54.49,50.11,53.15,6435200,51.70
2013-11-01,52.63,53.61,51.01,51.38,7346200,49.64
2013-10-01,46.45,53.68,46.14,52.52,7691200,50.74
2013-09-03,42.01,47.59,41.32,46.28,7886400,44.38
2013-08-01,43.70,44.39,41.11,41.69,6442300,39.98
2013-07-01,45.06,46.14,42.96,43.24,8178000,41.47
2013-06-03,47.10,49.57,44.32,44.69,12183200,42.52
2013-05-01,39.47,48.83,39.18,46.01,12951600,43.78
2013-04-01,41.12,42.87,39.18,39.72,9390200,37.79
2013-03-01,36.89,41.25,36.43,41.19,11426700,38.86
2013-02-01,36.42,37.22,36.03,36.97,8690300,34.88
2013-01-02,32.84,36.71,32.50,36.14,11109500,34.10
2012-12-03,32.71,33.55,31.85,32.59,9101800,30.42
2012-11-01,33.47,33.86,30.64,32.63,9505000,30.46
2012-10-01,33.79,35.59,32.70,33.25,10382200,31.03
2012-09-04,33.04,34.24,32.82,33.75,11641900,31.19
2012-08-01,35.73,36.00,31.37,33.01,13085600,30.50
2012-07-02,35.74,36.34,34.37,35.60,9463200,32.90
2012-06-01,32.87,35.95,32.83,35.95,12283900,32.91
2012-05-01,33.55,33.76,32.36,33.34,8991700,30.52
2012-04-02,33.65,35.00,32.28,33.37,10749000,30.54
2012-03-01,32.05,33.92,32.05,33.75,10250300,30.58
2012-02-01,32.53,33.26,31.31,32.17,9660900,29.15
2012-01-03,35.33,35.44,31.89,32.24,13739100,29.21
