Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,11.89,12.00,11.66,11.72,5533600,11.72
2014-12-01,11.23,12.07,10.72,11.84,3190700,11.84
2014-11-03,10.73,11.77,10.66,11.31,4268000,11.28
2014-10-01,10.88,10.88,8.91,10.73,5923600,10.70
2014-09-02,10.57,10.99,10.03,10.87,5504400,10.84
2014-08-01,9.20,10.62,9.03,10.55,4297900,10.48
2014-07-01,9.26,9.75,8.89,9.21,4105100,9.15
2014-06-02,9.08,9.48,8.96,9.20,6230800,9.14
2014-05-01,9.25,9.33,7.95,9.12,9382500,9.03
2014-04-01,10.66,10.96,9.04,9.31,5548600,9.21
2014-03-03,9.49,10.63,9.44,10.61,6237000,10.50
2014-02-03,9.33,9.93,9.06,9.57,5412800,9.47
2014-01-02,8.83,9.70,8.78,9.34,5617800,9.24
2013-12-02,8.75,8.98,8.24,8.87,4300300,8.78
2013-11-01,8.04,9.03,7.93,8.79,5212800,8.70
2013-10-01,8.02,8.43,7.66,8.02,7683300,7.94
2013-09-03,7.47,8.43,7.45,8.05,6592000,7.97
2013-08-01,6.69,8.04,6.66,7.40,7381900,7.32
2013-07-01,5.75,6.75,5.68,6.66,5948900,6.59
2013-06-03,5.37,6.03,5.25,5.76,8049200,5.70
2013-05-01,5.82,5.84,5.14,5.43,10203100,5.37
2013-04-01,5.75,5.89,5.38,5.82,5755800,5.76
2013-03-01,5.59,6.15,5.55,5.77,4305300,5.71
2013-02-01,5.75,6.01,5.45,5.61,8365400,5.55
2013-01-02,5.41,5.79,5.36,5.72,4721900,5.66
2012-12-03,5.70,5.74,5.17,5.33,4451500,5.28
2012-11-01,5.29,5.80,5.19,5.68,6142700,5.62
2012-10-01,5.91,6.10,5.18,5.30,5967400,5.25
2012-09-04,5.82,6.44,5.81,5.92,6351900,5.86
2012-08-01,5.02,5.98,4.83,5.80,6120900,5.74
2012-07-02,4.90,5.01,4.44,4.97,4400700,4.92
2012-06-01,4.41,5.02,4.18,4.93,6672500,4.88
2012-05-01,5.52,5.63,4.59,4.65,6811500,4.60
2012-04-02,5.69,5.80,5.19,5.54,3985600,5.48
2012-03-01,5.83,5.91,5.41,5.75,4984200,5.69
2012-02-01,5.63,6.17,5.21,5.78,8227400,5.72
2012-01-03,5.30,6.05,5.13,5.61,8114100,5.55
