Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,81.81,83.40,79.03,80.73,1479000,80.73
2014-11-03,78.66,82.68,77.98,82.19,1785500,81.84
2014-10-01,75.02,79.13,71.72,78.48,2543400,78.15
2014-09-02,73.72,77.74,73.31,74.92,1794700,74.60
2014-08-01,71.63,73.77,68.54,73.70,1859300,73.06
2014-07-01,68.79,73.75,68.79,71.65,1971200,71.02
2014-06-02,70.71,71.54,67.27,68.56,2111600,67.96
2014-05-01,66.77,71.27,63.06,70.63,2529700,69.67
2014-04-01,70.30,72.15,65.53,69.51,2173200,68.56
2014-03-03,71.07,74.40,68.95,69.98,2165000,69.02
2014-02-03,67.96,72.57,64.78,71.53,2534000,70.24
2014-01-02,66.45,69.51,65.11,68.02,2792200,66.80
2013-12-02,64.36,67.75,62.55,66.81,2669500,65.61
2013-11-01,58.34,65.45,58.22,64.60,3509800,63.15
2013-10-01,52.29,59.10,52.05,58.66,3415100,57.35
2013-09-03,50.82,53.92,49.65,52.15,1971300,50.98
2013-08-01,50.73,52.49,49.86,50.28,1859300,48.87
2013-07-01,47.54,51.09,46.52,50.09,2009600,48.68
2013-06-03,47.07,48.99,45.59,47.20,3167400,45.88
2013-05-01,44.22,48.40,43.90,46.96,3094300,45.35
2013-04-01,41.69,45.92,41.65,44.22,3602300,42.71
2013-03-01,46.17,47.23,41.42,41.62,4854300,40.20
2013-02-01,44.13,46.87,43.52,46.21,2987100,44.34
2013-01-02,41.51,45.23,41.06,43.81,2796400,42.04
2012-12-03,40.61,42.74,40.22,41.18,2076900,39.51
2012-11-01,41.02,41.68,38.76,40.45,2608400,38.55
2012-10-01,39.08,42.13,39.03,41.13,2845200,39.20
2012-09-04,39.60,39.88,36.91,38.97,4368400,37.14
2012-08-01,43.34,43.38,38.85,39.55,2910700,37.47
2012-07-02,42.00,43.83,41.62,43.09,2947700,40.82
2012-06-01,40.99,42.99,40.19,42.00,2229300,39.79
2012-05-01,42.14,43.52,40.61,41.38,2327100,38.97
2012-04-02,43.08,43.30,40.44,42.27,2766500,39.81
2012-03-01,41.55,43.39,40.55,43.11,2481900,40.60
2012-02-01,43.23,44.02,40.93,41.55,2695100,38.94
2012-01-03,41.23,44.49,40.62,43.03,2469900,40.32
