Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,100.24,101.46,88.63,91.53,5771700,91.53
2014-11-03,101.61,107.12,98.04,100.60,4066300,100.60
2014-10-01,98.64,102.37,90.05,101.41,5949400,101.41
2014-09-02,109.03,109.73,98.26,99.03,5239200,98.28
2014-08-01,100.52,109.10,99.11,109.07,4649400,108.25
2014-07-01,109.08,111.46,100.74,100.75,3994600,99.99
2014-06-02,102.42,109.85,102.01,108.67,3388100,107.17
2014-05-01,105.20,108.21,100.72,102.23,4171000,100.82
2014-04-01,98.94,107.40,98.94,105.40,5697900,103.95
2014-03-03,96.32,100.63,95.06,99.37,6000100,97.43
2014-02-03,93.74,98.24,91.06,96.97,6332400,95.07
2014-01-02,90.41,94.69,85.88,93.91,7603500,92.07
2013-12-02,84.70,91.67,83.11,90.81,5059900,88.45
2013-11-01,83.78,85.18,81.87,84.60,4703600,82.41
2013-10-01,83.56,89.17,82.45,83.36,5692500,81.20
2013-09-03,83.15,88.25,81.72,83.40,5444900,80.67
2013-08-01,83.62,87.43,81.46,82.54,5476100,79.84
2013-07-01,83.04,89.00,81.35,82.91,6933300,80.20
2013-06-03,85.91,86.47,80.86,82.49,6500000,79.24
2013-05-01,84.07,90.69,82.66,85.80,6945300,82.42
2013-04-01,86.86,87.00,79.49,84.67,8396000,81.33
2013-03-01,91.54,91.96,85.80,86.97,6415800,83.01
2013-02-01,99.00,99.70,88.50,92.37,5629700,88.16
2013-01-02,92.95,99.20,92.89,98.39,6971500,93.91
2012-12-03,85.92,91.83,83.75,89.61,6135400,85.53
2012-11-01,85.22,88.60,80.16,85.24,6527600,80.89
2012-10-01,86.72,87.53,82.10,84.81,7643600,80.48
2012-09-04,85.03,94.28,81.78,86.04,8694100,81.16
2012-08-01,85.00,92.08,82.10,85.33,6557500,80.49
2012-07-02,85.35,87.56,78.25,84.21,8675000,79.44
2012-06-01,85.08,89.87,80.96,84.91,7692100,79.59
2012-05-01,102.81,103.50,86.01,87.62,7734800,82.13
2012-04-02,105.99,109.77,99.80,102.77,6729400,96.33
2012-03-01,114.67,115.38,103.48,106.52,7225200,99.42
2012-02-01,110.75,116.95,109.86,114.21,6246400,106.60
2012-01-03,92.77,114.00,92.77,109.12,8637500,101.85
