Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,112.88,114.57,112.54,113.52,7644000,113.52
2014-12-01,113.71,119.84,103.69,111.86,5814600,111.86
2014-11-03,106.53,114.50,102.13,113.69,4146500,113.69
2014-10-01,95.24,109.25,83.16,107.09,6460400,107.09
2014-09-02,95.50,96.50,88.22,94.78,4476800,94.78
2014-08-01,86.61,96.15,84.85,95.02,3955600,95.02
2014-07-01,86.45,90.50,82.90,87.15,5136600,87.15
2014-06-02,152.57,174.74,84.57,85.88,4990600,85.88
2014-05-01,147.25,155.88,142.63,153.03,5179100,76.51
2014-04-01,142.00,149.69,133.70,147.01,8569200,73.50
2014-03-03,159.05,165.21,139.01,139.60,8613500,69.80
2014-02-03,151.81,167.26,147.77,160.75,6695200,80.38
2014-01-02,169.01,174.66,147.83,151.93,7595600,75.96
2013-12-02,161.87,173.80,157.18,168.97,4939400,84.49
2013-11-01,149.27,165.74,142.10,161.77,5902000,80.89
2013-10-01,154.70,161.64,143.13,148.49,5937000,74.25
2013-09-03,141.77,156.04,141.42,154.14,5910200,77.07
2013-08-01,148.18,149.92,131.52,139.98,4541600,69.99
2013-07-01,119.30,148.98,118.15,146.86,5782700,73.43
2013-06-03,124.12,124.72,110.53,116.98,6399600,58.49
2013-05-01,117.92,131.82,114.05,123.65,6700900,61.83
2013-04-01,116.51,128.52,114.52,118.07,6795200,59.03
2013-03-01,103.25,116.95,102.50,115.91,6700000,57.96
2013-02-01,99.94,105.14,96.78,103.27,7351900,51.63
2013-01-02,80.12,100.12,79.75,98.96,9689900,49.48
2012-12-03,78.75,82.78,77.22,78.47,6184700,39.24
2012-11-01,74.03,79.81,71.23,78.59,6030000,39.29
2012-10-01,76.97,81.24,73.20,73.35,5135600,36.67
2012-09-04,71.39,78.63,70.66,76.40,5209200,38.20
2012-08-01,69.29,72.53,66.87,72.04,5343600,36.02
2012-07-02,64.67,71.42,61.89,68.46,6580000,34.23
2012-06-01,67.44,69.68,58.53,64.16,10425300,32.08
2012-05-01,72.98,73.31,67.57,68.25,6671400,34.12
2012-04-02,77.57,80.42,72.33,72.93,6961100,36.47
2012-03-01,73.56,78.83,71.30,77.52,5255500,38.76
2012-02-01,72.72,76.09,71.51,73.32,6198500,36.66
2012-01-03,68.51,75.11,66.28,72.69,7998500,36.35
