Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,145.64,151.25,137.97,144.17,1412300,144.17
2014-11-03,146.02,149.71,141.26,145.62,1585100,145.62
2014-10-01,131.40,147.14,124.30,146.18,2349900,145.39
2014-09-02,145.37,145.63,131.24,131.98,1485000,131.27
2014-08-01,139.22,148.04,137.09,145.11,1398500,144.33
2014-07-01,153.37,158.25,139.31,139.39,1564000,137.89
2014-06-02,153.45,161.03,151.70,154.29,1030700,152.63
2014-05-01,150.46,154.87,147.00,152.93,995500,151.28
2014-04-01,149.39,151.80,139.01,150.85,1467600,148.59
2014-03-03,144.17,150.34,139.16,148.99,1363300,146.76
2014-02-03,127.13,148.60,122.64,145.92,2181300,143.74
2014-01-02,140.43,141.67,124.03,126.98,1600300,124.54
2013-12-02,132.55,141.39,127.81,140.97,1224000,138.26
2013-11-01,127.42,133.86,127.00,132.36,1259900,129.81
2013-10-01,132.01,139.17,122.52,127.02,1786600,123.99
2013-09-03,125.00,136.50,123.46,132.87,1350500,129.70
2013-08-01,122.60,128.30,120.71,123.20,1464100,120.26
2013-07-01,109.25,123.90,107.51,121.19,1751000,117.70
2013-06-03,119.75,120.71,105.55,108.46,2034500,105.34
2013-05-01,105.25,122.32,103.41,119.63,1999900,116.18
2013-04-01,115.81,118.69,105.86,106.39,2213200,102.89
2013-03-01,114.96,119.77,111.58,115.81,1696700,112.00
2013-02-01,115.56,122.54,110.87,115.87,1828300,112.06
2013-01-02,111.50,117.95,109.19,114.83,1659200,110.59
2012-12-03,98.86,109.78,96.76,108.35,1956400,104.35
2012-11-01,94.06,101.99,93.98,98.16,2157200,94.53
2012-10-01,92.87,94.98,85.88,93.58,2932100,89.67
2012-09-04,97.08,104.71,91.16,92.21,2362000,88.35
2012-08-01,97.18,105.63,93.00,97.11,2195600,93.05
2012-07-02,97.25,101.21,82.20,95.90,3908900,91.44
2012-06-01,94.70,100.55,88.31,96.91,3099100,92.41
2012-05-01,113.99,114.47,95.43,96.95,2834900,92.44
2012-04-02,120.62,123.34,110.02,115.83,2344700,110.02
2012-03-01,121.47,129.51,114.88,120.04,2599100,114.02
2012-02-01,105.34,124.69,104.25,120.57,2535200,114.52
2012-01-03,90.45,110.95,90.37,104.00,2857400,98.46
