Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,78.06,79.25,74.52,76.86,000,76.86
2014-11-03,77.45,78.25,76.23,78.25,000,78.25
2014-10-01,69.67,76.75,69.60,76.75,000,76.75
2014-09-02,74.43,75.06,69.68,69.68,000,69.68
2014-08-01,72.02,74.67,71.62,74.25,000,73.82
2014-07-01,72.77,74.11,72.30,72.30,000,71.88
2014-06-02,72.66,74.11,71.86,72.43,000,72.01
2014-05-01,70.99,72.49,70.81,72.49,000,71.23
2014-04-01,68.99,70.72,68.20,70.72,000,69.49
2014-03-03,68.64,69.72,67.52,68.53,000,67.34
2014-02-03,63.84,68.61,63.84,68.61,000,67.04
2014-01-02,62.69,65.23,62.69,65.07,000,63.58
2013-12-02,64.60,65.94,61.32,62.82,000,61.38
2013-11-01,68.94,69.19,64.94,64.94,000,60.97
2013-10-01,66.49,70.43,65.02,68.49,000,64.30
2013-09-03,63.25,68.45,63.02,65.48,000,61.47
2013-08-01,68.41,68.41,62.75,63.72,000,59.48
2013-07-01,67.44,71.51,67.44,68.52,000,63.96
2013-06-03,69.64,69.64,64.64,67.61,000,63.11
2013-05-01,72.91,76.42,69.32,69.32,000,64.27
2013-04-01,69.23,73.53,69.21,73.53,000,68.17
2013-03-01,67.88,69.28,67.88,69.14,000,64.10
2013-02-01,67.47,68.31,66.75,67.58,000,62.34
2013-01-02,65.33,67.83,65.32,66.92,000,61.73
2012-12-03,67.10,67.96,62.71,64.57,000,59.56
2012-11-01,67.50,67.97,64.59,66.86,000,57.49
2012-10-01,67.36,69.01,66.63,67.26,000,57.83
2012-09-04,69.75,71.68,67.85,67.93,000,58.41
2012-08-01,69.00,69.74,68.07,69.32,000,59.33
2012-07-02,68.90,69.86,67.56,69.13,000,59.17
2012-06-01,63.58,68.27,63.23,68.27,000,58.44
2012-05-01,69.61,69.62,63.97,65.40,000,55.64
2012-04-02,67.21,68.97,63.91,68.87,000,58.59
2012-03-01,64.26,66.82,63.86,66.82,000,56.85
2012-02-01,64.97,66.06,63.63,63.89,000,54.08
2012-01-03,61.26,64.67,60.22,64.44,000,54.55
