Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,71.32,75.82,68.54,73.94,3283000,73.94
2014-11-03,69.15,72.71,68.20,71.40,3149800,71.40
2014-10-01,71.13,71.35,64.55,69.15,7248200,68.69
2014-09-02,65.92,72.92,64.52,71.76,5398700,71.28
2014-08-01,63.98,66.62,63.70,66.11,3002300,65.67
2014-07-01,64.99,66.95,64.17,64.31,4419300,63.42
2014-06-02,69.33,69.75,64.35,65.44,4496300,64.54
2014-05-01,66.86,69.38,66.32,69.31,3218300,68.36
2014-04-01,67.14,68.82,65.91,67.32,4067500,65.96
2014-03-03,65.78,67.95,65.38,67.10,4043500,65.74
2014-02-03,61.05,66.72,59.95,66.62,5389900,65.27
2014-01-02,64.24,65.00,59.35,61.01,5059200,59.35
2013-12-02,61.76,65.00,59.85,64.97,3366900,63.21
2013-11-01,61.14,62.34,59.71,61.38,4548100,59.71
2013-10-01,58.57,62.69,56.46,61.20,4075000,59.11
2013-09-03,57.07,60.86,56.09,58.56,3976300,56.56
2013-08-01,58.23,60.18,56.26,56.62,4037900,54.68
2013-07-01,52.24,60.40,52.04,57.69,5752000,55.30
2013-06-03,55.84,56.47,52.02,52.50,6731800,50.32
2013-05-01,54.12,57.25,52.57,55.79,7003900,53.48
2013-04-01,48.88,54.73,48.21,54.51,8073600,51.83
2013-03-01,47.56,50.20,47.28,49.16,5453900,46.74
2013-02-01,47.68,48.22,46.02,47.90,6493700,45.54
2013-01-02,45.95,48.40,45.11,47.45,6243800,44.71
2012-12-03,43.43,45.33,42.25,44.98,6227800,42.38
2012-11-01,44.58,45.49,41.67,43.14,6594700,40.65
2012-10-01,50.18,50.96,44.50,44.52,6994700,41.53
2012-09-04,49.51,52.33,48.63,50.27,5817100,46.89
2012-08-01,49.94,52.10,48.68,49.75,4455700,46.41
2012-07-02,49.48,50.48,46.15,49.70,5800000,45.97
2012-06-01,47.53,51.47,46.44,50.57,4683400,46.78
2012-05-01,53.35,53.98,47.71,48.26,5282900,44.64
2012-04-02,52.68,53.98,50.84,53.46,5467400,49.04
2012-03-01,50.89,53.95,49.90,52.90,5271700,48.53
2012-02-01,51.52,52.31,49.29,50.85,5530600,46.65
2012-01-03,46.58,51.76,45.84,50.89,7009500,46.31
