Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,94.91,95.28,92.85,93.75,11730800,93.75
2014-12-01,92.63,95.93,90.13,94.19,6818100,94.19
2014-11-03,91.24,92.96,88.65,92.51,7038400,91.35
2014-10-01,89.08,91.98,78.54,91.38,8863600,90.23
2014-09-02,90.18,91.20,87.36,89.03,5570900,87.91
2014-08-01,85.39,91.14,85.21,89.88,5899900,88.75
2014-07-01,85.81,87.63,84.87,85.88,5774100,84.80
2014-06-02,84.27,86.07,81.80,85.74,6522500,84.66
2014-05-01,79.35,84.39,79.21,84.01,6744800,82.96
2014-04-01,80.39,82.85,76.31,79.34,7048600,78.34
2014-03-03,80.30,83.65,77.28,80.07,7365000,79.07
2014-02-03,72.66,81.59,69.85,80.81,8788900,79.80
2014-01-02,76.04,76.84,71.12,72.61,7236800,71.70
2013-12-02,70.79,76.54,68.80,76.40,6880000,75.44
2013-11-01,68.71,71.69,66.72,70.54,6605000,68.81
2013-10-01,64.37,69.87,63.10,68.59,6764800,66.90
2013-09-03,61.42,67.65,60.52,64.49,10736700,62.90
2013-08-01,65.16,67.16,60.41,60.83,7596900,59.33
2013-07-01,63.84,67.36,62.57,64.65,6345600,63.06
2013-06-03,63.06,65.55,61.82,63.15,8088100,61.60
2013-05-01,62.88,67.89,62.80,63.08,9705900,61.53
2013-04-01,56.89,63.25,56.15,62.84,8643800,61.29
2013-03-01,54.31,57.82,54.30,56.80,7127900,55.40
2013-02-01,54.18,55.95,53.41,54.59,9999600,53.25
2013-01-02,50.80,54.87,50.18,53.88,9227100,52.55
2012-12-03,49.77,51.06,48.55,49.79,8477600,48.57
2012-11-01,49.28,50.99,46.53,49.66,11010000,47.71
2012-10-01,52.31,53.15,48.80,49.12,8591100,47.19
2012-09-04,49.52,53.40,49.23,52.28,8922000,50.22
2012-08-01,49.33,50.65,48.13,49.47,7894300,47.52
2012-07-02,48.62,50.54,46.85,49.14,8954200,47.21
2012-06-01,45.15,48.95,44.14,48.50,10155400,46.59
2012-05-01,43.18,46.10,42.84,45.71,11362500,43.91
2012-04-02,43.59,44.00,40.88,43.11,7152900,41.41
2012-03-01,42.13,44.50,41.70,43.78,9078400,42.06
2012-02-01,39.25,42.37,38.56,41.99,10851100,40.34
2012-01-03,37.97,40.25,37.94,38.90,11257700,37.37
