Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,48.35,50.78,42.57,45.61,10645100,45.61
2014-11-03,49.30,53.80,47.51,48.67,10658000,48.23
2014-10-01,52.24,52.30,41.45,49.40,15889100,48.95
2014-09-02,53.56,54.97,52.37,52.44,9781500,51.97
2014-08-01,51.20,53.93,50.34,53.55,5539900,52.70
2014-07-01,51.55,54.28,50.48,51.07,6612900,50.26
2014-06-02,52.16,53.35,50.87,51.46,6325300,50.64
2014-05-01,49.86,52.55,48.12,52.12,9698100,50.93
2014-04-01,48.86,50.64,46.56,49.90,8624600,48.76
2014-03-03,48.04,50.96,47.60,48.59,7960200,47.48
2014-02-03,45.42,49.23,44.00,48.71,9878400,47.24
2014-01-02,44.20,46.85,41.82,45.51,14267500,44.14
2013-12-02,39.38,44.99,38.42,44.40,10399500,43.06
2013-11-01,39.57,40.31,38.16,39.06,6249400,37.61
2013-10-01,38.46,41.74,38.04,39.47,7927200,38.01
2013-09-03,37.88,41.08,37.12,38.40,10036200,36.98
2013-08-01,35.38,39.20,35.16,37.40,7734000,35.72
2013-07-01,32.41,35.49,32.05,35.04,5477500,33.47
2013-06-03,34.37,35.15,31.65,32.17,6833500,30.73
2013-05-01,33.62,36.00,32.80,34.46,6953400,32.59
2013-04-01,31.86,34.23,29.81,33.91,9326000,32.07
2013-03-01,31.50,33.81,31.08,31.84,7589700,30.11
2013-02-01,32.25,33.18,30.63,31.72,7722400,29.70
2013-01-02,32.99,34.83,32.00,32.20,10276600,30.15
2012-12-03,30.29,32.95,29.03,32.33,7626200,30.27
2012-11-01,29.41,30.79,27.45,30.19,8013400,27.99
2012-10-01,29.19,30.87,28.01,29.30,9350500,27.17
2012-09-04,29.27,32.48,28.45,28.96,13640900,26.85
2012-08-01,28.91,30.54,28.73,29.31,7567200,26.88
2012-07-02,31.56,31.88,28.65,28.78,9354600,26.40
2012-06-01,30.33,34.10,29.89,31.50,12544900,28.89
2012-05-01,34.03,34.43,29.27,31.06,9770400,28.20
2012-04-02,34.56,36.08,31.53,33.88,12315200,30.76
2012-03-01,33.69,36.00,32.24,34.64,7807100,31.45
2012-02-01,33.75,35.10,33.01,33.51,8073800,30.21
2012-01-03,29.28,33.92,29.27,33.51,8884600,30.21
