Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,130.05,133.42,124.69,128.56,432600,128.56
2014-11-03,122.48,131.02,121.56,130.02,583100,130.02
2014-10-01,123.00,123.29,111.16,122.65,509500,122.16
2014-09-02,121.57,125.81,121.05,123.21,402900,122.72
2014-08-01,114.84,123.46,114.17,121.52,513100,121.04
2014-07-01,122.15,123.84,114.42,114.76,554900,113.83
2014-06-02,116.16,122.62,114.49,122.03,449400,121.04
2014-05-01,111.39,116.80,111.15,116.00,599600,115.06
2014-04-01,100.94,115.79,96.34,111.69,931600,110.29
2014-03-03,96.33,101.47,92.79,100.74,608500,99.48
2014-02-03,94.19,98.14,92.44,97.34,775000,96.12
2014-01-02,108.15,109.42,92.02,94.50,718800,92.84
2013-12-02,110.49,113.16,105.48,108.24,406900,106.34
2013-11-01,98.01,111.33,96.44,110.35,606600,108.41
2013-10-01,91.12,101.51,91.11,98.11,593700,95.93
2013-09-03,99.60,100.78,90.59,91.15,481200,89.13
2013-08-01,102.94,105.53,96.82,98.83,426100,96.64
2013-07-01,101.21,108.50,98.74,101.80,459400,99.04
2013-06-03,95.26,102.98,92.43,100.51,523500,97.78
2013-05-01,94.52,102.94,94.52,95.71,474700,93.11
2013-04-01,99.95,100.53,92.60,96.59,509700,93.60
2013-03-01,91.56,100.25,89.88,99.73,429600,96.64
2013-02-01,87.61,92.64,87.16,91.93,521400,89.08
2013-01-02,81.48,88.84,80.78,87.01,614000,83.95
2012-12-03,79.56,83.33,78.54,79.98,688700,77.16
2012-11-01,73.23,79.93,69.72,79.76,800300,76.95
2012-10-01,74.71,75.74,69.46,72.97,393600,70.02
2012-09-04,68.70,77.10,67.68,74.61,847100,71.59
2012-08-01,71.82,72.79,64.36,68.90,1082400,66.11
2012-07-02,75.25,80.36,73.42,77.77,537000,74.19
2012-06-01,71.68,75.31,69.45,75.25,536300,71.78
2012-05-01,71.01,78.29,70.32,72.91,752400,69.55
2012-04-02,74.34,75.72,69.90,71.33,591000,68.04
2012-03-01,76.47,77.61,72.41,74.18,486900,70.76
2012-02-01,76.00,79.30,73.70,76.45,664700,72.93
2012-01-03,78.68,80.10,76.07,77.12,571800,73.57
