Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,67.57,70.51,64.03,67.96,2575300,67.96
2014-11-03,68.37,69.60,66.17,67.83,2516100,67.83
2014-10-01,63.03,68.42,57.11,68.39,4275600,67.90
2014-09-02,70.00,70.60,62.84,63.37,3189400,62.92
2014-08-01,67.54,70.69,66.54,69.81,2881100,69.31
2014-07-01,77.49,79.98,67.76,67.92,3705900,67.43
2014-06-02,73.75,79.65,72.95,77.18,2685200,76.09
2014-05-01,72.27,74.95,71.18,73.69,2388700,72.65
2014-04-01,74.77,77.71,70.26,72.64,3102300,71.13
2014-03-03,73.95,76.65,71.18,75.12,3063900,73.56
2014-02-03,73.44,76.16,66.89,74.71,4146400,72.68
2014-01-02,75.74,78.19,72.12,73.09,3122900,71.10
2013-12-02,72.66,77.00,70.09,76.12,2424100,74.05
2013-11-01,70.55,73.44,68.79,72.66,2190900,70.68
2013-10-01,68.72,72.54,65.20,70.56,3551500,68.64
2013-09-03,64.28,71.36,62.89,68.84,2577700,66.57
2013-08-01,69.53,70.07,63.19,63.32,2804300,61.23
2013-07-01,65.76,69.44,65.51,68.95,2331200,66.27
2013-06-03,66.40,67.01,61.23,65.81,3829700,63.25
2013-05-01,61.02,69.92,59.18,66.06,3340200,63.49
2013-04-01,61.25,62.88,55.41,61.41,3988200,58.61
2013-03-01,61.45,63.81,60.35,61.25,3441300,58.45
2013-02-01,57.65,62.56,55.60,61.97,4413600,58.74
2013-01-02,55.55,57.86,55.00,56.95,3030400,53.99
2012-12-03,51.48,54.75,50.74,54.18,3582000,51.36
2012-11-01,47.74,52.68,47.74,52.16,4866700,49.44
2012-10-01,47.08,47.99,44.36,47.22,4326500,44.76
2012-09-04,44.75,49.18,43.06,47.27,4400400,44.44
2012-08-01,44.20,46.77,42.40,44.72,3430200,42.05
2012-07-02,39.55,44.33,36.38,43.84,5624600,40.86
2012-06-01,41.41,42.75,36.94,39.63,6474700,36.94
2012-05-01,48.12,48.48,41.75,42.66,5226400,39.76
2012-04-02,49.82,50.29,45.91,48.18,3623600,44.55
2012-03-01,52.30,52.70,47.96,49.83,3370400,46.07
2012-02-01,49.64,53.06,49.20,52.19,3195500,48.25
2012-01-03,44.78,50.20,44.73,49.03,3850300,44.99
