Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,78.58,78.93,77.70,78.45,36264800,78.45
2014-12-01,77.26,82.17,74.40,78.02,24465500,78.02
2014-11-03,75.47,78.27,72.51,77.70,26657600,77.70
2014-10-01,78.78,81.16,70.32,74.99,48854700,74.99
2014-09-02,75.01,79.71,73.07,79.04,35977700,79.04
2014-08-01,72.22,75.99,71.55,74.82,29352900,74.82
2014-07-01,67.58,76.74,62.21,72.65,48745800,72.65
2014-06-02,63.23,68.00,61.79,67.29,42405300,67.29
2014-05-01,60.43,64.30,56.26,63.30,55495600,63.30
2014-04-01,60.46,63.91,54.66,59.78,93367300,59.78
2014-03-03,66.96,72.59,57.98,60.24,62307100,60.24
2014-02-03,63.03,71.44,60.70,68.46,61976700,68.46
2014-01-02,54.83,63.37,51.85,62.57,65833700,62.57
2013-12-02,46.90,58.58,46.26,54.65,74314700,54.65
2013-11-01,50.85,52.09,43.55,47.01,69013200,47.01
2013-10-01,49.97,54.83,45.26,50.21,99193200,50.21
2013-09-03,41.84,51.60,41.44,50.23,84158900,50.23
2013-08-01,37.30,42.26,36.02,41.29,64214900,41.29
2013-07-01,24.97,38.31,24.15,36.80,72402000,36.80
2013-06-03,24.27,25.19,22.67,24.88,44255500,24.88
2013-05-01,27.85,29.07,23.26,24.35,46273600,24.35
2013-04-01,25.63,28.10,25.15,27.77,35216100,27.77
2013-03-01,27.05,28.68,24.72,25.58,37788300,25.58
2013-02-01,31.01,31.02,26.34,27.25,54771900,27.25
2013-01-02,27.44,32.51,27.42,30.98,88885500,30.98
2012-12-03,28.00,28.88,25.15,26.62,62610300,26.62
2012-11-01,21.08,28.00,18.87,28.00,78787600,28.00
2012-10-01,22.08,24.25,18.80,21.11,57157900,21.11
2012-09-04,18.08,23.37,17.55,21.66,59164700,21.66
2012-08-01,21.50,22.45,18.03,18.06,52639500,18.06
2012-07-02,31.25,32.88,21.61,21.71,27446100,21.71
2012-06-01,28.89,33.45,25.52,31.10,32735100,31.10
2012-05-18,42.05,45.00,26.83,29.60,151461300,29.60
