Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,11.67,11.74,10.52,10.79,000,10.79
2014-11-03,11.59,11.85,11.54,11.75,000,11.75
2014-10-01,11.34,11.66,10.83,11.66,000,11.66
2014-09-02,12.05,12.18,11.34,11.40,000,11.40
2014-08-01,11.62,12.05,11.43,12.05,000,11.87
2014-07-01,11.96,12.02,11.70,11.70,000,11.53
2014-06-02,11.52,11.93,11.50,11.93,000,11.75
2014-05-01,11.21,11.49,11.18,11.49,000,11.32
2014-04-01,11.02,11.18,10.92,11.18,000,11.02
2014-03-03,10.58,10.96,10.58,10.96,000,10.80
2014-02-03,10.09,10.65,10.09,10.65,000,10.49
2014-01-02,10.26,10.37,10.15,10.22,000,10.07
2013-12-02,10.62,10.62,10.15,10.35,000,10.20
2013-11-01,10.69,10.76,10.58,10.66,000,10.01
2013-10-01,10.43,10.84,10.33,10.73,000,10.08
2013-09-03,9.97,10.46,9.97,10.36,000,9.73
2013-08-01,10.41,10.41,9.95,9.99,000,9.29
2013-07-01,9.94,10.42,9.88,10.35,000,9.62
2013-06-03,10.23,10.23,9.62,9.95,000,9.25
2013-05-01,10.56,10.70,10.21,10.21,000,9.49
2013-04-01,10.24,10.63,10.20,10.63,000,9.88
2013-03-01,9.94,10.23,9.94,10.23,000,9.51
2013-02-01,9.95,9.98,9.81,9.98,000,9.28
2013-01-02,9.71,10.00,9.64,9.87,000,9.18
2012-12-03,9.71,9.81,9.45,9.56,000,8.89
2012-11-01,9.81,9.81,9.33,9.72,000,8.71
2012-10-01,9.66,9.88,9.66,9.79,000,8.78
2012-09-04,9.39,9.65,9.37,9.63,000,8.63
2012-08-01,9.31,9.44,9.24,9.39,000,8.41
2012-07-02,9.08,9.39,9.03,9.36,000,8.38
2012-06-01,8.47,9.04,8.47,9.04,000,8.10
2012-05-01,9.21,9.21,8.58,8.62,000,7.72
2012-04-02,9.19,9.19,8.85,9.19,000,8.23
2012-03-01,9.15,9.19,8.97,9.13,000,8.18
2012-02-01,8.93,9.12,8.92,9.11,000,8.16
2012-01-03,8.67,8.83,8.56,8.83,000,7.91
