Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,60.78,61.06,59.92,60.69,2002400,60.69
2014-12-01,61.10,63.69,55.60,60.63,2633300,60.63
2014-11-03,66.52,69.69,61.79,61.99,2128500,61.99
2014-10-01,67.04,67.38,59.32,66.34,1992500,66.13
2014-09-02,73.74,74.80,66.52,66.79,1659300,66.58
2014-08-01,73.92,75.55,70.82,73.89,1043300,73.66
2014-07-01,77.25,79.20,72.77,72.87,1096800,72.44
2014-06-02,75.09,79.93,74.58,76.90,1129400,76.44
2014-05-01,75.57,77.81,72.70,75.08,1311400,74.63
2014-04-01,77.73,79.90,74.03,75.70,1165500,75.04
2014-03-03,76.70,80.77,73.89,77.73,1473900,77.05
2014-02-03,75.87,83.10,73.32,77.69,1817300,77.01
2014-01-02,79.82,83.93,74.93,75.96,1526100,75.10
2013-12-02,77.90,80.45,74.59,80.29,1155000,79.38
2013-11-01,73.89,79.95,73.15,77.81,1482600,76.92
2013-10-01,70.77,78.23,68.93,74.22,1423600,73.23
2013-09-03,64.08,74.72,63.21,70.96,1405200,70.01
2013-08-01,63.19,67.06,61.68,63.43,1590700,62.58
2013-07-01,59.84,63.40,57.50,62.56,1539200,61.57
2013-06-03,63.26,63.61,57.84,59.31,1688900,58.37
2013-05-01,56.50,66.90,55.63,63.21,1974100,62.21
2013-04-01,66.30,66.83,53.50,56.98,2730100,55.94
2013-03-01,61.29,66.46,58.56,66.33,1546500,65.11
2013-02-01,65.67,66.28,59.61,61.90,1696400,60.77
2013-01-02,60.14,66.67,59.32,64.83,1360400,63.48
2012-12-03,53.27,59.96,52.79,58.74,1627100,57.52
2012-11-01,56.19,58.00,51.09,53.08,2054800,51.97
2012-10-01,56.56,59.40,54.55,55.85,1321800,54.52
2012-09-04,51.52,60.82,51.13,56.28,1981800,54.94
2012-08-01,49.95,55.00,48.89,51.50,1456700,50.28
2012-07-02,49.49,51.79,45.61,49.58,1561100,48.25
2012-06-01,45.91,50.96,44.99,49.34,2273200,48.02
2012-05-01,57.54,59.99,46.05,46.88,2530700,45.63
2012-04-02,59.98,61.65,56.59,57.75,1603600,56.02
2012-03-01,60.95,63.33,57.89,60.04,1836000,58.24
2012-02-01,56.96,64.67,56.96,60.48,1872500,58.51
2012-01-03,51.53,58.53,51.02,56.24,1801900,54.41
