Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,60.24,60.36,59.03,59.65,2341200,59.65
2014-12-01,59.27,62.64,53.93,59.83,1975700,59.83
2014-11-03,67.95,68.65,58.80,58.87,1319400,58.71
2014-10-01,70.24,71.06,59.35,67.99,1769900,67.81
2014-09-02,76.47,77.77,70.23,70.52,777100,70.33
2014-08-01,73.74,76.54,71.26,75.89,560600,75.52
2014-07-01,74.60,78.48,71.42,74.04,977100,73.68
2014-06-02,73.98,78.97,72.10,74.35,891200,73.98
2014-05-01,73.02,77.41,72.59,73.74,701800,73.22
2014-04-01,78.50,79.98,71.18,73.05,1203800,72.54
2014-03-03,80.38,81.52,74.35,78.34,1076600,77.79
2014-02-03,72.07,82.24,69.35,81.21,1671100,80.47
2014-01-02,78.17,78.49,71.28,72.33,1251200,71.67
2013-12-02,71.53,78.89,68.79,78.83,1249000,78.11
2013-11-01,69.73,73.04,68.25,71.38,926800,70.60
2013-10-01,62.25,71.49,59.86,69.47,1263900,68.71
2013-09-03,56.62,63.70,55.98,62.39,1169400,61.71
2013-08-01,57.33,58.25,55.64,55.79,939100,55.06
2013-07-01,54.35,57.94,53.96,56.68,1329400,55.94
2013-06-03,168.60,169.69,50.90,54.01,1064600,53.30
2013-05-01,156.92,173.29,150.01,168.13,1041200,55.17
2013-04-01,167.23,167.60,151.96,158.12,1276200,51.88
2013-03-01,159.25,169.54,156.92,167.71,1261300,55.03
2013-02-01,157.07,162.61,152.93,160.50,1407100,52.53
2013-01-02,150.10,158.63,149.96,156.77,1359600,51.31
2012-12-03,139.62,146.92,138.33,146.80,1260600,48.04
2012-11-01,135.75,147.10,131.60,138.55,1732000,45.23
2012-10-01,128.36,137.90,126.85,135.49,1438400,44.23
2012-09-04,127.36,135.57,126.20,127.74,1614900,41.70
2012-08-01,120.90,130.15,116.99,127.66,1559800,41.56
2012-07-02,114.96,122.45,105.91,119.98,1924000,39.06
2012-06-01,101.12,115.62,98.41,114.75,2083500,37.36
2012-05-01,115.11,119.59,101.17,102.78,2085600,33.35
2012-04-02,115.10,118.39,108.52,114.93,1354700,37.29
2012-03-01,119.73,120.02,110.52,115.51,1520800,37.48
2012-02-01,111.66,122.45,111.09,118.57,1741700,38.35
2012-01-03,102.48,110.99,100.88,110.17,1517300,35.64
