Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,26.16,26.47,24.06,25.27,40687800,25.27
2014-11-03,25.49,27.10,25.48,26.49,28829100,26.24
2014-10-01,25.43,25.93,23.69,25.81,37177400,25.57
2014-09-02,25.89,26.40,25.30,25.62,28269200,25.38
2014-08-01,25.07,26.45,24.75,25.98,27001000,25.52
2014-07-01,26.27,27.15,25.15,25.15,34881200,24.71
2014-06-02,26.71,27.53,26.20,26.28,28162300,25.82
2014-05-01,26.73,26.96,26.15,26.79,21905100,26.10
2014-04-01,25.83,26.90,25.43,26.89,32731000,26.20
2014-03-03,25.21,26.35,24.92,25.89,34011600,25.23
2014-02-03,25.13,26.04,24.32,25.47,37064800,24.82
2014-01-02,27.86,27.94,24.90,25.13,45898300,24.27
2013-12-02,26.65,28.09,26.20,28.03,36802800,27.07
2013-11-01,26.05,27.50,26.03,26.66,36825500,25.54
2013-10-01,23.94,26.48,23.50,26.14,40825700,25.05
2013-09-03,23.31,24.91,22.92,23.89,38743100,22.89
2013-08-01,24.60,24.87,23.04,23.14,31680000,22.00
2013-07-01,23.21,24.95,22.76,24.37,37830200,23.17
2013-06-03,23.37,24.45,22.76,23.19,46064200,22.05
2013-05-01,22.10,24.13,22.10,23.32,40605700,22.00
2013-04-01,23.03,23.72,21.11,22.29,45473700,21.03
2013-03-01,23.02,23.90,22.85,23.12,35856200,21.81
2013-02-01,22.43,23.75,22.27,23.22,42399400,21.90
2013-01-02,21.51,22.58,20.68,22.28,45481800,20.85
2012-12-03,21.18,21.95,20.26,20.99,48120000,19.64
2012-11-01,21.03,21.78,19.87,21.13,41367900,19.59
2012-10-01,22.73,23.18,20.97,21.06,45216000,19.53
2012-09-04,20.63,22.96,20.48,22.71,57152600,21.06
2012-08-01,20.86,21.19,20.20,20.71,31618300,19.06
2012-07-02,20.74,21.00,19.36,20.75,51637000,19.09
2012-06-01,18.82,20.84,18.02,20.84,62921700,19.18
2012-05-01,19.58,19.95,18.32,19.09,46065700,17.37
2012-04-02,20.03,20.11,18.70,19.58,43774500,17.81
2012-03-01,19.15,21.00,18.32,20.07,50233700,18.26
2012-02-01,18.94,19.50,18.70,19.05,49933200,17.33
2012-01-03,18.23,19.27,18.23,18.71,51444600,16.87
