Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,95.14,96.65,94.52,94.91,24588400,94.91
2014-12-01,100.00,109.49,85.95,94.26,19736800,94.26
2014-11-03,112.31,112.80,98.37,100.32,16309300,100.32
2014-10-01,106.99,116.83,91.73,112.00,16522700,112.00
2014-09-02,108.17,110.64,97.54,106.45,15633200,106.45
2014-08-01,91.00,108.77,90.69,107.56,13407000,107.56
2014-07-01,83.37,94.34,83.32,91.55,13730900,91.55
2014-06-02,81.32,84.45,78.50,82.91,10482400,82.91
2014-05-01,78.62,83.70,76.63,81.21,12036900,81.21
2014-04-01,73.34,78.67,63.50,78.49,23462800,78.49
2014-03-03,82.79,83.44,67.63,70.86,17170900,70.86
2014-02-03,81.77,84.88,75.70,82.79,13086700,82.79
2014-01-02,75.21,84.40,72.53,80.65,11597700,80.65
2013-12-02,74.84,76.11,69.05,75.10,11840100,75.10
2013-11-01,71.39,75.43,65.53,74.81,10267100,74.81
2013-10-01,63.02,73.20,58.81,71.18,10043600,71.18
2013-09-03,60.90,64.74,59.42,62.87,6501600,62.87
2013-08-01,62.05,62.20,55.96,60.27,6928600,60.27
2013-07-01,51.97,64.04,51.42,61.40,10209900,61.40
2013-06-03,54.56,54.64,46.70,51.27,11475400,51.27
2013-05-01,50.45,58.06,49.86,54.48,13027900,54.48
2013-04-01,49.01,55.16,46.53,50.64,13365200,50.64
2013-03-01,42.63,49.48,42.38,48.94,11356100,48.94
2013-02-01,40.17,43.35,39.48,42.72,10366200,42.72
2013-01-02,74.31,79.37,39.21,39.45,9466700,39.45
2012-12-03,74.97,77.12,71.36,73.45,10020500,36.72
2012-11-01,67.70,76.28,64.14,75.00,16782500,37.50
2012-10-01,67.49,70.39,64.40,67.18,15761800,33.59
2012-09-04,57.51,68.08,57.02,66.33,18090300,33.17
2012-08-01,54.45,58.84,53.50,57.69,12120400,28.84
2012-07-02,51.19,56.04,49.60,54.33,11055000,27.17
2012-06-01,49.40,51.36,48.24,51.28,10075800,25.64
2012-05-01,51.95,53.06,48.93,49.95,13153800,24.98
2012-04-02,48.71,54.75,45.33,52.02,18464500,26.01
2012-03-01,45.90,48.98,44.80,48.86,13043500,24.43
2012-02-01,49.05,56.50,43.81,45.54,29785200,22.77
2012-01-03,41.46,48.99,41.35,48.86,18845700,24.43
