Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,12.20,12.20,12.20,12.20,000,12.20
2014-12-01,12.70,12.79,12.15,12.24,000,12.24
2014-11-03,12.65,12.90,12.60,12.76,000,12.56
2014-10-01,12.45,12.75,11.90,12.75,000,12.55
2014-09-02,13.53,13.59,12.64,12.64,000,12.44
2014-08-01,13.20,13.59,13.05,13.51,000,13.30
2014-07-01,13.67,13.83,13.27,13.27,000,13.06
2014-06-02,13.57,13.60,13.47,13.58,000,13.37
2014-05-01,13.25,13.57,13.24,13.55,000,13.34
2014-04-01,13.31,13.31,12.88,13.22,000,13.02
2014-03-03,12.95,13.30,12.78,13.26,000,13.05
2014-02-03,12.13,13.24,12.13,13.24,000,13.03
2014-01-02,12.90,13.08,12.35,12.35,000,12.16
2013-12-02,13.00,13.01,12.48,13.01,000,12.81
2013-11-01,12.93,13.06,12.71,13.06,000,12.67
2013-10-01,12.76,13.23,12.45,13.01,000,12.62
2013-09-03,12.03,12.94,12.03,12.68,000,12.30
2013-08-01,12.15,12.34,11.84,11.84,000,11.49
2013-07-01,11.71,12.19,11.64,12.06,000,11.70
2013-06-03,12.13,12.13,11.29,11.57,000,11.22
2013-05-01,12.27,12.76,12.08,12.08,000,11.72
2013-04-01,12.03,12.32,11.82,12.32,000,11.95
2013-03-01,11.92,12.14,11.92,12.13,000,11.77
2013-02-01,12.10,12.13,11.77,11.92,000,11.56
2013-01-02,11.84,12.01,11.71,11.98,000,11.62
2012-12-03,11.78,12.04,11.38,11.56,000,11.21
2012-11-01,11.73,11.79,11.25,11.79,000,10.77
2012-10-01,11.66,11.91,11.58,11.59,000,10.59
2012-09-04,11.14,11.81,11.14,11.60,000,10.59
2012-08-01,10.96,11.38,10.87,11.20,000,10.23
2012-07-02,10.96,11.10,10.58,10.98,000,10.03
2012-06-01,10.27,10.94,10.27,10.94,000,9.99
2012-05-01,12.00,12.00,10.58,10.58,000,9.66
2012-04-02,12.21,12.21,11.51,11.95,000,10.91
2012-03-01,11.98,12.21,11.49,12.04,000,11.00
2012-02-01,11.38,11.99,11.38,11.87,000,10.84
2012-01-03,10.79,11.29,10.50,11.17,000,10.20
