Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,64.41,64.41,64.41,64.41,000,64.41
2014-12-01,69.33,69.33,64.74,64.78,000,64.78
2014-11-03,67.31,69.66,67.07,69.40,000,67.90
2014-10-01,68.13,68.13,64.45,68.09,000,66.62
2014-09-02,71.92,72.45,68.97,68.97,000,67.48
2014-08-01,71.14,72.42,69.90,71.90,000,70.35
2014-07-01,74.73,75.22,71.53,71.53,000,69.99
2014-06-02,73.99,75.15,73.97,74.16,000,72.56
2014-05-01,73.46,73.98,72.85,73.98,000,72.38
2014-04-01,72.26,73.40,71.15,73.40,000,71.82
2014-03-03,69.77,71.94,68.84,71.74,000,70.19
2014-02-03,66.46,71.41,66.46,71.41,000,69.87
2014-01-02,69.73,71.21,67.52,67.52,000,66.06
2013-12-02,70.49,71.01,67.62,71.01,000,69.48
2013-11-01,70.29,71.04,69.53,71.04,000,68.01
2013-10-01,69.77,72.53,68.19,70.79,000,67.77
2013-09-03,65.80,71.10,65.80,69.28,000,66.33
2013-08-01,66.50,68.04,64.99,64.99,000,62.22
2013-07-01,62.96,66.13,62.11,65.67,000,62.87
2013-06-03,65.83,65.83,60.90,62.35,000,59.69
2013-05-01,65.30,67.78,65.30,65.32,000,62.54
2013-04-01,63.10,65.63,62.15,65.63,000,62.83
2013-03-01,63.38,64.82,62.97,63.42,000,60.72
2013-02-01,64.69,64.69,62.48,63.39,000,60.69
2013-01-02,63.17,64.36,62.42,63.95,000,61.22
2012-12-03,61.33,62.41,61.27,62.12,000,59.47
2012-11-01,59.74,61.29,57.70,61.29,000,57.50
2012-10-01,59.35,60.58,58.32,59.11,000,55.45
2012-09-04,56.87,61.07,56.87,58.81,000,55.17
2012-08-01,56.17,58.14,55.60,57.18,000,53.64
2012-07-02,56.02,56.77,53.73,56.28,000,52.80
2012-06-01,51.82,55.71,51.82,55.71,000,52.26
2012-05-01,59.55,59.55,53.16,53.16,000,49.87
2012-04-02,60.88,60.88,56.96,59.34,000,55.67
2012-03-01,60.87,61.25,57.89,60.01,000,56.30
2012-02-01,57.63,60.74,57.63,60.21,000,56.48
2012-01-03,54.22,57.28,52.83,56.53,000,53.03
