Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,108.64,110.00,101.11,106.71,600400,106.71
2014-11-03,107.28,111.85,103.69,108.53,557300,108.53
2014-10-01,98.04,113.88,84.48,107.34,1108100,107.00
2014-09-02,115.03,115.50,97.71,98.04,759400,97.73
2014-08-01,108.50,116.71,104.30,115.08,774100,114.72
2014-07-01,107.94,118.60,107.94,108.55,644500,107.88
2014-06-02,104.84,108.59,100.78,107.43,712700,106.77
2014-05-01,113.23,115.00,102.04,105.03,871500,104.38
2014-04-01,106.63,112.89,98.59,109.61,1001000,108.63
2014-03-03,103.62,111.98,101.61,106.40,746100,105.45
2014-02-03,103.34,107.99,97.76,104.73,921800,103.79
2014-01-02,81.93,105.58,79.92,103.43,1158600,102.20
2013-12-02,81.14,85.65,78.49,81.85,629300,80.87
2013-11-01,81.40,84.50,76.39,81.04,646600,80.07
2013-10-01,66.11,85.76,63.61,81.02,843900,79.76
2013-09-03,65.13,67.86,63.84,66.23,664600,65.20
2013-08-01,61.00,71.66,58.12,64.02,1200100,63.02
2013-07-01,54.58,61.03,53.10,60.53,678800,59.33
2013-06-03,53.20,55.17,47.59,54.20,738200,53.13
2013-05-01,44.61,54.38,44.09,53.10,684400,52.05
2013-04-01,44.53,45.28,40.79,44.71,672900,43.69
2013-03-01,42.17,45.73,41.53,44.63,588500,43.62
2013-02-01,45.13,46.38,41.40,42.45,838300,41.49
2013-01-02,45.94,50.52,40.48,44.78,1499100,43.62
2012-12-03,39.84,44.65,39.22,44.64,638700,43.48
2012-11-01,42.09,46.00,36.92,39.56,851200,38.53
2012-10-01,46.44,47.57,39.17,41.93,663400,40.70
2012-09-04,45.64,49.58,44.65,46.16,571900,44.80
2012-08-01,40.69,46.84,38.75,46.03,594400,44.67
2012-07-02,39.83,41.35,36.82,40.35,667400,39.03
2012-06-01,38.11,41.40,34.08,39.60,1655100,38.31
2012-05-01,49.15,50.61,37.85,39.22,1076100,37.94
2012-04-02,46.63,52.75,43.25,49.58,940600,47.88
2012-03-01,49.41,50.23,45.48,46.81,587700,45.20
2012-02-01,42.87,51.76,42.57,49.13,1045800,47.44
2012-01-03,39.01,44.66,37.89,42.20,595700,40.69
