Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,105.16,105.66,102.67,103.43,8647400,103.43
2014-12-01,99.49,106.02,96.99,104.97,5630800,104.97
2014-11-03,96.81,99.80,95.15,99.40,5596100,98.93
2014-10-01,92.14,99.26,86.35,97.52,6594000,97.06
2014-09-02,93.04,93.75,88.33,91.74,7628800,91.30
2014-08-01,80.56,93.52,79.66,93.50,7422700,92.59
2014-07-01,81.32,82.35,77.95,80.85,6047200,80.06
2014-06-02,80.25,81.47,77.75,80.96,6415100,80.17
2014-05-01,79.51,80.27,75.32,80.23,5963400,78.99
2014-04-01,79.24,81.15,74.61,79.51,8113600,78.28
2014-03-03,80.73,83.20,78.37,79.13,6455600,77.90
2014-02-03,76.64,83.10,73.96,82.03,8134800,80.30
2014-01-02,82.11,82.57,75.85,76.85,7030100,75.23
2013-12-02,80.45,82.47,77.70,82.34,6322900,80.60
2013-11-01,77.98,82.27,74.78,80.67,7105100,78.58
2013-10-01,75.88,78.60,73.74,77.89,7464200,75.87
2013-09-03,74.83,78.81,72.21,75.85,7684300,73.88
2013-08-01,79.52,80.50,73.11,74.49,7974500,72.18
2013-07-01,77.63,81.23,76.63,79.03,5953500,76.58
2013-06-03,78.65,79.68,72.41,77.47,9501600,75.07
2013-05-01,73.18,81.56,72.53,78.66,7527300,75.84
2013-04-01,69.51,74.59,69.51,73.35,7356800,70.72
2013-03-01,68.38,71.45,68.09,69.78,6745800,67.28
2013-02-01,67.62,69.19,63.82,68.50,8009500,65.69
2013-01-02,63.57,68.15,62.38,66.92,6354300,64.17
2012-12-03,65.00,65.92,60.21,61.85,7560300,59.31
2012-11-01,61.95,65.23,60.31,65.07,8929300,62.40
2012-10-01,60.77,63.20,58.75,61.38,10070000,58.59
2012-09-04,56.79,60.58,56.37,60.37,8017900,57.63
2012-08-01,52.31,57.18,51.21,56.75,8515300,54.17
2012-07-02,52.96,54.28,49.77,52.18,10321500,49.56
2012-06-01,48.85,53.28,47.75,52.99,14144500,50.33
2012-05-01,51.93,52.88,46.37,49.34,13656500,46.86
2012-04-02,50.10,52.39,49.36,51.79,9152200,48.90
2012-03-01,47.53,50.42,46.12,50.31,9348900,47.50
2012-02-01,44.69,48.07,44.30,47.57,10049800,44.64
2012-01-03,42.41,45.50,41.92,44.39,10350100,41.65
