Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,98.60,102.39,95.37,99.92,2410900,99.92
2014-11-03,96.25,99.35,94.88,99.07,2262900,99.07
2014-10-01,92.75,96.98,82.89,96.12,4271400,95.60
2014-09-02,95.18,96.93,92.25,93.12,2649400,92.62
2014-08-01,91.75,96.33,90.18,95.23,2541100,94.72
2014-07-01,93.29,98.09,91.83,91.83,3277600,90.91
2014-06-02,93.30,96.49,92.51,92.95,2501600,92.01
2014-05-01,92.83,94.77,90.07,93.15,2693800,92.21
2014-04-01,93.15,95.16,89.96,92.90,3030500,91.51
2014-03-03,92.71,95.91,90.05,92.76,3360000,91.38
2014-02-03,91.23,95.21,88.27,94.44,3257600,93.03
2014-01-02,90.96,92.15,88.12,91.23,3084500,89.44
2013-12-02,88.48,91.56,85.77,91.37,2445000,89.58
2013-11-01,86.77,89.52,85.33,88.51,2212600,86.77
2013-10-01,83.13,87.94,81.04,86.73,2982600,84.60
2013-09-03,80.44,87.55,80.23,83.04,2503600,81.00
2013-08-01,83.80,84.78,78.88,79.57,2340700,77.61
2013-07-01,79.86,84.85,77.32,82.98,3049500,80.53
2013-06-03,78.55,81.09,76.15,79.34,3197700,77.00
2013-05-01,73.20,81.24,72.47,78.46,3338600,76.15
2013-04-01,75.20,75.28,70.92,73.54,3929900,71.00
2013-03-01,69.71,75.75,68.90,75.35,4036200,72.75
2013-02-01,68.97,71.43,68.39,70.10,3648000,67.68
2013-01-02,64.67,69.25,64.16,68.24,3603500,65.50
2012-12-03,61.56,64.49,60.24,63.47,3703100,60.92
2012-11-01,61.26,63.89,58.29,61.33,3519200,58.87
2012-10-01,60.37,63.48,60.05,61.24,3962700,58.38
2012-09-04,58.48,61.95,57.16,59.75,3441000,56.96
2012-08-01,58.40,59.98,56.70,58.45,2601100,55.72
2012-07-02,55.94,59.52,52.73,58.05,3869000,54.98
2012-06-01,54.21,56.99,52.21,55.84,4380300,52.89
2012-05-01,60.48,61.47,54.78,55.66,3814300,52.72
2012-04-02,60.57,61.45,56.57,60.66,4296500,57.08
2012-03-01,59.35,62.00,57.31,61.05,3862800,57.45
2012-02-01,58.64,60.79,58.33,59.57,3466000,56.06
2012-01-03,55.28,58.91,54.73,58.04,4023600,54.28
