Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,22.87,23.07,22.40,22.91,9532200,22.91
2014-12-01,25.47,26.19,20.90,22.78,5022600,22.78
2014-11-03,24.55,27.17,23.77,25.52,3292500,25.39
2014-10-01,25.89,25.97,20.36,24.40,5342500,24.28
2014-09-02,26.81,29.33,25.87,25.99,3081200,25.86
2014-08-01,25.99,27.66,25.97,26.89,2336300,26.64
2014-07-01,28.13,28.35,25.64,26.05,2515700,25.80
2014-06-02,26.73,28.87,26.51,28.10,2901700,27.84
2014-05-01,25.10,27.05,24.74,26.69,2776300,26.32
2014-04-01,24.48,26.35,23.55,25.05,3763600,24.70
2014-03-03,24.08,25.82,22.91,24.42,4171800,24.08
2014-02-03,21.93,24.79,20.79,24.36,3986400,23.90
2014-01-02,24.53,24.53,21.26,21.92,3485900,21.50
2013-12-02,22.99,24.74,22.81,24.60,2030900,24.13
2013-11-01,23.23,23.38,22.02,22.93,2443900,22.37
2013-10-01,20.57,23.46,20.53,23.22,4216200,22.66
2013-09-03,17.75,21.11,17.28,20.61,5830100,20.11
2013-08-01,18.12,18.75,17.45,17.50,2097800,16.97
2013-07-01,16.71,18.34,16.18,18.02,2830400,17.47
2013-06-03,19.49,19.65,16.02,16.56,3011200,16.05
2013-05-01,18.87,20.14,18.00,19.45,3137800,18.73
2013-04-01,18.67,19.25,17.05,18.86,4377600,18.16
2013-03-01,17.07,19.51,16.78,18.59,5285400,17.90
2013-02-01,17.94,19.11,16.16,17.23,5792700,16.48
2013-01-02,16.38,18.47,16.21,17.63,4022400,16.86
2012-12-03,16.55,16.71,15.52,15.90,2822100,15.21
2012-11-01,15.08,17.17,15.02,16.44,3663600,15.63
2012-10-01,15.00,16.21,14.18,15.04,3117900,14.30
2012-09-04,14.31,16.35,13.70,14.93,3477900,14.20
2012-08-01,12.86,14.95,12.60,14.38,2901700,13.58
2012-07-02,12.99,13.69,10.98,12.65,4359700,11.95
2012-06-01,12.40,13.61,11.51,12.94,6278900,12.22
2012-05-01,15.48,15.98,12.56,12.80,6635300,11.99
2012-04-02,14.08,15.23,13.75,14.16,4202500,13.26
2012-03-01,13.76,14.93,12.54,14.01,4677300,13.12
2012-02-01,13.12,14.60,12.65,13.66,5715200,12.70
2012-01-03,10.35,12.85,9.75,12.73,5624600,11.84
