Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,306.39,309.39,303.47,306.34,1856200,306.34
2014-12-01,302.65,319.14,292.04,303.35,1519300,303.35
2014-11-03,297.24,307.16,286.11,303.90,1213700,303.90
2014-10-01,272.45,302.98,247.86,296.62,1924900,296.62
2014-09-02,278.02,280.07,263.64,273.63,1046300,273.63
2014-08-01,249.39,276.71,247.35,276.55,988500,276.50
2014-07-01,258.89,266.43,242.36,250.83,1544900,250.78
2014-06-02,240.01,259.87,236.25,257.03,1077400,256.98
2014-05-01,229.86,242.28,220.04,239.59,1326200,239.17
2014-04-01,238.71,245.42,207.48,230.25,3712500,229.85
2014-03-03,259.06,270.60,228.69,236.40,2885300,235.99
2014-02-03,247.00,275.40,232.93,264.42,1605700,263.96
2014-01-02,225.73,254.11,222.29,245.91,1239400,245.48
2013-12-02,223.53,228.11,212.57,227.06,716700,226.67
2013-11-01,206.21,225.10,197.44,224.16,905800,223.77
2013-10-01,211.22,213.78,191.29,205.33,1354200,204.97
2013-09-03,197.46,212.50,195.50,209.60,705900,209.24
2013-08-01,200.05,201.47,187.05,193.74,639800,193.40
2013-07-01,178.13,199.20,177.21,197.83,802100,197.49
2013-06-03,179.56,180.30,164.14,173.88,905000,173.58
2013-05-01,172.56,186.98,170.81,179.50,703300,179.11
2013-04-01,160.51,177.07,157.18,172.31,763400,171.94
2013-03-01,146.49,160.19,146.45,159.93,446500,159.59
2013-02-01,146.41,148.63,143.15,147.79,465100,147.47
2013-01-02,140.31,147.37,139.47,145.58,410900,145.27
2012-12-03,140.23,141.87,134.21,137.22,334100,136.92
2012-11-01,132.00,140.26,125.63,138.75,639800,138.35
2012-10-01,143.20,148.54,131.55,131.87,725900,131.49
2012-09-04,136.74,145.23,135.78,142.59,473600,142.18
2012-08-01,134.65,136.70,129.43,136.38,430800,135.67
2012-07-02,130.41,138.75,127.44,133.81,650800,133.11
2012-06-01,121.01,130.13,118.29,129.96,587100,129.28
2012-05-01,125.06,126.90,114.97,123.21,739500,122.39
2012-04-02,123.62,126.65,116.43,125.39,507200,124.55
2012-03-01,118.86,124.66,115.83,123.30,405500,122.48
2012-02-01,117.36,122.45,115.64,119.06,769600,118.24
2012-01-03,105.53,116.76,104.26,116.00,739100,115.20
