Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,37.21,37.90,35.33,36.29,28201200,36.29
2014-11-03,33.81,37.69,33.00,37.25,30617500,37.25
2014-10-01,34.61,34.78,29.65,34.01,41164600,33.79
2014-09-02,34.76,35.56,33.63,34.82,28255800,34.59
2014-08-01,33.75,35.20,32.39,34.92,29791600,34.69
2014-07-01,30.99,34.83,30.44,33.89,39593600,33.45
2014-06-02,27.31,31.00,27.12,30.90,37281300,30.50
2014-05-01,26.51,27.32,25.74,27.32,25503800,26.96
2014-04-01,25.80,27.24,25.64,26.69,36261100,26.12
2014-03-03,24.55,26.06,24.30,25.81,29355700,25.26
2014-02-03,24.50,24.98,23.50,24.76,28122500,24.23
2014-01-02,25.78,27.12,24.40,24.54,41079800,23.79
2013-12-02,24.00,26.04,23.40,25.96,30349700,25.16
2013-11-01,24.51,25.29,23.50,23.84,30270100,23.11
2013-10-01,22.94,24.73,22.48,24.47,36038900,23.50
2013-09-03,22.21,24.09,21.97,22.92,33902000,22.01
2013-08-01,23.41,23.49,21.89,21.98,31040400,21.11
2013-07-01,24.35,24.43,22.63,23.34,47457300,22.20
2013-06-03,24.88,25.98,23.41,24.23,47550100,23.04
2013-05-01,23.82,24.71,23.58,24.28,35811600,23.09
2013-04-01,21.67,24.00,20.75,23.95,58788200,22.56
2013-03-01,20.79,22.04,20.66,21.84,39456400,20.58
2013-02-01,21.19,21.38,20.10,20.88,38803600,19.67
2013-01-02,21.15,23.06,20.88,21.04,59850900,19.61
2012-12-03,19.88,21.31,19.50,20.62,42338800,19.22
2012-11-01,21.76,22.54,19.23,19.57,57594900,18.24
2012-10-01,22.75,23.17,21.22,21.63,55078700,19.96
2012-09-04,25.03,25.10,22.48,22.66,51639800,20.91
2012-08-01,25.83,26.90,24.15,24.83,34657800,22.91
2012-07-02,26.51,26.86,24.68,25.70,37827200,23.50
2012-06-01,25.40,27.75,24.84,26.65,39265400,24.37
2012-05-01,28.47,29.27,24.92,25.84,41581800,23.63
2012-04-02,28.04,28.78,27.24,28.40,38833400,25.79
2012-03-01,27.06,28.45,26.20,28.12,34980300,25.53
2012-02-01,26.74,27.50,26.35,26.88,41241900,24.41
2012-01-03,24.62,27.00,24.39,26.42,58261100,23.80
