Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,56.32,58.31,51.82,52.52,000,52.52
2014-11-03,54.66,56.91,54.10,56.91,000,56.91
2014-10-01,51.91,54.78,49.07,54.78,000,54.78
2014-09-02,52.99,53.44,52.30,52.47,000,52.47
2014-08-01,49.03,52.87,48.45,52.87,000,52.87
2014-07-01,49.47,50.28,47.09,49.04,000,49.04
2014-06-02,46.43,48.92,46.43,48.92,000,48.92
2014-05-01,45.16,46.55,44.00,46.50,000,46.50
2014-04-01,46.74,46.74,42.53,44.64,000,44.64
2014-03-03,48.92,49.97,45.26,46.10,000,46.10
2014-02-03,44.71,50.35,44.69,49.27,000,49.27
2014-01-02,42.94,47.25,42.85,46.07,000,46.07
2013-12-02,45.17,45.17,41.05,43.01,000,43.01
2013-11-01,42.63,45.02,41.63,45.02,000,41.55
2013-10-01,42.93,43.26,40.55,42.46,000,39.19
2013-09-03,40.61,42.61,40.61,42.34,000,39.08
2013-08-01,40.70,40.84,39.50,40.13,000,37.04
2013-07-01,37.18,40.21,37.07,40.21,000,37.11
2013-06-03,36.73,37.10,35.50,36.35,000,33.55
2013-05-01,35.29,37.42,35.29,36.87,000,34.03
2013-04-01,34.28,35.76,34.16,35.76,000,33.01
2013-03-01,32.94,34.33,32.94,34.33,000,31.69
2013-02-01,32.68,33.00,32.22,32.76,000,30.24
2013-01-02,30.57,32.46,30.57,32.21,000,29.73
2012-12-03,30.76,31.52,29.55,29.93,000,27.63
2012-11-01,30.59,30.81,29.36,30.78,000,27.38
2012-10-01,31.27,31.82,30.08,30.08,000,26.76
2012-09-04,30.03,31.31,29.96,31.09,000,27.66
2012-08-01,28.86,29.65,28.57,29.65,000,26.38
2012-07-02,29.00,29.46,28.23,29.25,000,26.02
2012-06-01,27.01,28.62,27.01,28.62,000,25.46
2012-05-01,28.97,29.03,27.39,27.66,000,24.61
2012-04-02,28.87,29.03,27.58,28.92,000,25.73
2012-03-01,27.70,28.67,26.97,28.67,000,25.51
2012-02-01,27.12,27.66,27.06,27.48,000,24.45
2012-01-03,25.24,26.65,25.15,26.65,000,23.71
