Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,24.98,25.43,22.95,23.44,000,23.44
2014-11-03,24.65,25.50,24.59,25.34,000,25.34
2014-10-01,23.18,24.71,22.19,24.71,000,24.71
2014-09-02,24.39,24.39,23.47,23.48,000,23.48
2014-08-01,23.21,24.32,23.18,24.29,000,24.29
2014-07-01,24.46,24.54,23.27,23.27,000,23.27
2014-06-02,23.30,24.27,23.26,24.27,000,24.27
2014-05-01,22.78,23.40,22.61,23.25,000,23.25
2014-04-01,23.54,23.62,22.11,22.72,000,22.72
2014-03-03,23.34,23.90,22.84,23.21,000,23.21
2014-02-03,22.08,23.68,22.08,23.50,000,23.50
2014-01-02,23.39,23.85,22.79,22.85,000,22.85
2013-12-02,23.68,23.68,22.67,23.63,000,23.63
2013-11-01,22.81,23.75,22.57,23.73,000,22.83
2013-10-01,22.78,23.08,21.79,22.76,000,21.90
2013-09-03,21.21,22.54,21.21,22.52,000,21.67
2013-08-01,21.70,21.77,21.08,21.11,000,20.31
2013-07-01,20.49,21.41,20.42,21.34,000,20.53
2013-06-03,20.46,20.68,19.73,20.21,000,19.45
2013-05-01,19.47,20.82,19.47,20.43,000,19.66
2013-04-01,19.52,19.85,18.96,19.85,000,19.10
2013-03-01,18.98,19.76,18.98,19.76,000,19.01
2013-02-01,19.27,19.59,18.75,19.03,000,18.31
2013-01-02,18.46,19.17,18.44,19.07,000,18.35
2012-12-03,18.26,18.50,17.73,18.02,000,17.34
2012-11-01,18.23,18.36,17.29,18.36,000,16.82
2012-10-01,18.08,18.26,17.67,17.94,000,16.44
2012-09-04,17.94,18.67,17.87,18.09,000,16.57
2012-08-01,17.15,18.10,17.02,17.81,000,16.32
2012-07-02,17.64,17.91,17.02,17.56,000,16.09
2012-06-01,16.67,17.54,16.66,17.54,000,16.07
2012-05-01,18.33,18.40,16.96,17.19,000,15.75
2012-04-02,18.43,18.43,17.58,18.26,000,16.73
2012-03-01,18.05,18.58,17.47,18.31,000,16.78
2012-02-01,17.52,18.10,17.52,17.95,000,16.45
2012-01-03,16.35,17.32,16.27,17.18,000,15.74
