Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,14.89,14.89,14.89,14.89,000,14.89
2014-12-01,16.41,16.41,14.21,15.39,000,15.39
2014-11-03,17.21,17.39,16.14,16.93,000,16.89
2014-10-01,17.02,18.12,16.19,17.43,000,17.39
2014-09-02,20.18,20.23,17.46,17.50,000,17.46
2014-08-01,18.60,20.01,18.36,20.01,000,19.97
2014-07-01,18.70,19.49,18.54,18.54,000,18.50
2014-06-02,17.90,18.96,17.85,18.61,000,18.57
2014-05-01,17.73,18.57,17.73,18.01,000,17.97
2014-04-01,17.37,17.83,17.37,17.71,000,17.67
2014-03-03,16.02,17.30,15.77,17.30,000,17.26
2014-02-03,15.37,16.27,15.37,16.17,000,16.14
2014-01-02,17.10,17.16,15.76,15.81,000,15.78
2013-12-02,17.61,17.79,17.25,17.48,000,17.44
2013-11-01,18.37,18.49,17.45,17.94,000,17.78
2013-10-01,18.26,19.03,18.16,18.47,000,18.31
2013-09-03,16.85,18.90,16.85,18.09,000,17.93
2013-08-01,17.78,18.00,16.53,16.68,000,16.53
2013-07-01,17.64,18.03,16.92,17.60,000,17.44
2013-06-03,19.24,19.24,16.80,17.57,000,17.42
2013-05-01,20.10,20.41,19.13,19.13,000,18.96
2013-04-01,20.19,20.63,19.53,20.15,000,19.97
2013-03-01,20.27,20.81,19.78,20.27,000,20.09
2013-02-01,20.48,20.51,19.93,20.28,000,20.10
2013-01-02,20.14,20.49,20.03,20.48,000,20.30
2012-12-03,18.85,19.74,18.83,19.73,000,19.56
2012-11-01,18.75,18.87,18.09,18.68,000,18.48
2012-10-01,18.65,18.94,18.45,18.46,000,18.26
2012-09-04,17.83,19.10,17.83,18.47,000,18.27
2012-08-01,17.66,18.36,17.50,17.94,000,17.75
2012-07-02,17.75,18.00,17.01,17.67,000,17.48
2012-06-01,16.59,17.68,16.59,17.48,000,17.29
2012-05-01,19.23,19.29,16.80,17.09,000,16.91
2012-04-02,20.29,20.29,19.18,19.18,000,18.97
2012-03-01,20.88,20.88,20.07,20.11,000,19.89
2012-02-01,19.85,20.81,19.85,20.57,000,20.35
2012-01-03,17.94,19.47,17.55,19.31,000,19.10
