Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,17.95,17.95,17.95,17.95,000,17.95
2014-12-01,19.06,19.06,17.64,18.01,000,18.01
2014-11-03,19.42,19.42,19.12,19.29,000,18.63
2014-10-01,19.22,19.56,18.90,19.56,000,18.90
2014-09-02,20.23,20.35,19.32,19.32,000,18.66
2014-08-01,19.96,20.44,19.95,20.24,000,19.55
2014-07-01,19.77,20.27,19.77,20.08,000,19.40
2014-06-02,19.69,19.84,19.53,19.69,000,19.02
2014-05-01,19.34,19.75,19.31,19.69,000,18.88
2014-04-01,19.06,19.37,19.02,19.34,000,18.54
2014-03-03,18.64,19.00,18.36,19.00,000,18.22
2014-02-03,17.92,18.80,17.92,18.80,000,18.02
2014-01-02,18.76,18.76,18.10,18.11,000,17.36
2013-12-02,19.40,19.40,18.52,18.91,000,18.13
2013-11-01,19.58,19.59,19.22,19.30,000,18.18
2013-10-01,19.17,19.68,19.13,19.60,000,18.46
2013-09-03,18.54,19.51,18.49,19.04,000,17.93
2013-08-01,19.19,19.19,18.14,18.29,000,17.23
2013-07-01,18.82,19.34,18.55,19.04,000,17.93
2013-06-03,19.50,19.53,17.99,18.69,000,17.60
2013-05-01,20.06,20.46,19.50,19.50,000,18.13
2013-04-01,19.31,20.15,19.22,20.15,000,18.73
2013-03-01,19.31,19.43,19.10,19.43,000,18.06
2013-02-01,19.05,19.29,18.99,19.29,000,17.93
2013-01-02,18.76,18.98,18.65,18.91,000,17.58
2012-12-03,18.32,18.61,18.29,18.61,000,17.30
2012-11-01,18.26,18.36,17.83,18.36,000,16.82
2012-10-01,17.90,18.18,17.86,18.12,000,16.60
2012-09-04,17.15,17.99,17.10,17.99,000,16.48
2012-08-01,16.86,17.19,16.77,17.16,000,15.72
2012-07-02,16.37,16.81,16.36,16.81,000,15.40
2012-06-01,15.54,16.30,15.52,16.30,000,14.93
2012-05-01,16.93,17.02,15.63,15.74,000,14.24
2012-04-02,16.78,16.88,16.45,16.88,000,15.28
2012-03-01,16.67,16.73,16.36,16.73,000,15.14
2012-02-01,15.98,16.58,15.98,16.58,000,15.00
2012-01-03,15.23,15.89,15.09,15.89,000,14.38
