Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,26.65,26.65,26.65,26.65,000,26.65
2014-12-01,28.29,28.54,25.88,26.57,000,26.57
2014-11-03,28.48,28.63,27.97,28.63,000,27.24
2014-10-01,27.92,28.61,27.45,28.61,000,27.22
2014-09-02,29.33,29.52,28.27,28.27,000,26.90
2014-08-01,28.14,29.34,28.08,29.07,000,27.66
2014-07-01,27.72,28.71,27.72,28.41,000,27.03
2014-06-02,27.08,27.61,26.93,27.61,000,26.27
2014-05-01,25.85,27.14,25.64,26.98,000,25.67
2014-04-01,25.82,26.04,25.45,25.78,000,24.53
2014-03-03,24.56,25.57,24.56,25.57,000,24.33
2014-02-03,23.61,24.75,23.60,24.75,000,23.55
2014-01-02,24.66,24.73,23.76,23.95,000,22.79
2013-12-02,25.56,25.58,24.54,24.99,000,23.77
2013-11-01,25.70,25.70,24.61,25.37,000,23.83
2013-10-01,24.70,25.76,24.70,25.69,000,24.14
2013-09-03,22.97,25.20,22.94,24.56,000,23.07
2013-08-01,24.56,24.56,22.22,22.88,000,21.50
2013-07-01,24.19,24.83,23.57,24.39,000,22.91
2013-06-03,25.42,25.42,22.74,24.00,000,22.55
2013-05-01,25.89,26.58,25.56,25.56,000,24.01
2013-04-01,25.10,25.96,24.58,25.96,000,24.39
2013-03-01,25.27,25.48,24.55,25.10,000,23.58
2013-02-01,25.13,25.22,24.87,25.22,000,23.69
2013-01-02,24.72,25.07,24.64,24.96,000,23.45
2012-12-03,23.87,24.42,23.87,24.42,000,22.94
2012-11-01,23.75,23.96,23.24,23.96,000,22.35
2012-10-01,23.38,23.85,23.36,23.51,000,21.93
2012-09-04,22.01,23.45,21.77,23.45,000,21.87
2012-08-01,21.83,22.24,21.57,22.04,000,20.56
2012-07-02,21.65,21.92,20.97,21.68,000,20.22
2012-06-01,20.32,21.69,20.21,21.69,000,20.23
2012-05-01,22.57,22.71,20.57,20.57,000,19.18
2012-04-02,22.64,22.75,22.06,22.50,000,20.98
2012-03-01,22.80,22.83,22.12,22.55,000,21.03
2012-02-01,21.88,22.80,21.88,22.79,000,21.26
2012-01-03,20.63,21.92,20.44,21.78,000,20.31
