Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,14.23,14.23,13.33,13.61,000,13.61
2014-11-03,14.11,14.37,14.03,14.37,000,14.37
2014-10-01,13.56,14.12,13.02,14.12,000,14.12
2014-09-02,14.15,14.17,13.75,13.75,000,13.75
2014-08-01,13.52,13.99,13.52,13.96,000,13.96
2014-07-01,13.72,13.85,13.45,13.56,000,13.56
2014-06-02,12.91,13.58,12.91,13.58,000,13.58
2014-05-01,12.43,12.90,12.17,12.85,000,12.85
2014-04-01,12.76,12.83,12.25,12.30,000,12.30
2014-03-03,12.76,13.19,12.40,12.52,000,12.52
2014-02-03,11.79,12.91,11.72,12.87,000,12.87
2014-01-02,12.48,12.63,11.96,12.01,000,12.01
2013-12-02,12.16,12.59,12.13,12.59,000,12.59
2013-11-01,11.77,12.12,11.52,12.12,000,12.11
2013-10-01,11.33,11.87,11.33,11.77,000,11.76
2013-09-03,10.47,11.29,10.47,11.26,000,11.25
2013-08-01,10.52,10.62,10.27,10.37,000,10.36
2013-07-01,10.01,10.46,9.82,10.37,000,10.36
2013-06-03,10.15,10.23,9.49,9.91,000,9.90
2013-05-01,10.02,10.72,10.02,10.17,000,10.16
2013-04-01,9.63,10.09,9.52,10.09,000,10.08
2013-03-01,9.48,9.66,9.40,9.66,000,9.65
2013-02-01,9.40,9.46,9.29,9.45,000,9.44
2013-01-02,9.50,9.50,9.26,9.36,000,9.35
2012-12-03,9.08,9.29,9.03,9.29,000,9.28
2012-11-01,8.95,9.10,8.74,9.10,000,9.07
2012-10-01,9.21,9.28,8.86,8.86,000,8.83
2012-09-04,8.79,9.26,8.69,9.26,000,9.23
2012-08-01,8.59,8.88,8.49,8.76,000,8.73
2012-07-02,8.55,8.67,8.21,8.54,000,8.51
2012-06-01,8.15,8.67,8.10,8.62,000,8.59
2012-05-01,9.01,9.12,8.28,8.42,000,8.40
2012-04-02,9.33,9.33,9.01,9.04,000,9.01
2012-03-01,9.18,9.32,8.87,9.30,000,9.27
2012-02-01,8.71,9.13,8.71,9.13,000,9.10
2012-01-03,8.29,8.63,8.10,8.63,000,8.60
