Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,21.77,21.77,21.77,21.77,000,21.77
2014-12-01,21.79,22.06,20.91,21.46,000,21.46
2014-11-03,22.12,22.52,21.77,22.22,000,21.84
2014-10-01,21.17,22.21,21.13,22.21,000,21.83
2014-09-02,22.81,23.16,21.38,21.38,000,21.02
2014-08-01,22.41,23.11,22.41,22.71,000,22.32
2014-07-01,21.77,22.67,21.77,22.54,000,22.16
2014-06-02,21.09,21.66,21.09,21.66,000,21.29
2014-05-01,20.57,21.05,20.06,21.02,000,20.66
2014-04-01,21.21,21.38,20.45,20.45,000,20.10
2014-03-03,21.51,21.87,20.49,20.90,000,20.54
2014-02-03,20.89,21.82,20.64,21.65,000,21.28
2014-01-02,22.77,22.77,21.25,21.25,000,20.89
2013-12-02,25.58,25.64,22.32,22.84,000,22.45
2013-11-01,24.61,25.47,24.02,25.47,000,22.82
2013-10-01,23.90,25.12,23.90,24.49,000,21.94
2013-09-03,23.42,24.15,23.42,23.78,000,21.30
2013-08-01,22.59,23.45,22.32,22.90,000,20.51
2013-07-01,21.38,22.27,20.89,22.19,000,19.88
2013-06-03,22.96,22.96,20.38,21.28,000,19.06
2013-05-01,22.65,23.64,22.65,22.98,000,20.59
2013-04-01,22.65,22.80,21.77,22.80,000,20.43
2013-03-01,23.48,23.65,22.46,22.76,000,20.39
2013-02-01,24.44,24.44,22.92,23.43,000,20.99
2013-01-02,23.91,24.44,23.87,24.26,000,21.73
2012-12-03,22.55,23.47,22.55,23.47,000,21.03
2012-11-01,23.15,23.23,22.23,22.88,000,19.98
2012-10-01,22.08,22.76,22.05,22.55,000,19.69
2012-09-04,21.08,22.16,20.78,22.10,000,19.30
2012-08-01,21.21,21.87,20.98,21.27,000,18.57
2012-07-02,21.92,22.10,20.52,21.14,000,18.46
2012-06-01,20.99,22.24,20.90,21.95,000,19.16
2012-05-01,23.79,23.94,21.33,21.39,000,18.68
2012-04-02,23.48,23.81,22.88,23.70,000,20.69
2012-03-01,24.41,24.57,23.24,23.44,000,20.47
2012-02-01,23.23,24.39,23.23,24.39,000,21.29
2012-01-03,21.91,23.29,21.37,23.00,000,20.08
