Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,11.65,11.65,11.65,11.65,000,11.65
2014-12-01,11.80,11.90,11.34,11.60,000,11.60
2014-11-03,11.81,11.95,11.79,11.81,000,11.75
2014-10-01,11.62,11.79,11.48,11.79,000,11.73
2014-09-02,11.49,11.74,11.49,11.65,000,11.59
2014-08-01,11.17,11.45,11.17,11.45,000,11.39
2014-07-01,11.17,11.33,11.14,11.24,000,11.19
2014-06-02,11.06,11.12,10.84,11.12,000,11.07
2014-05-01,10.82,11.01,10.61,11.01,000,10.96
2014-04-01,10.72,10.92,10.72,10.80,000,10.75
2014-03-03,10.41,10.62,10.39,10.56,000,10.51
2014-02-03,9.91,10.48,9.91,10.48,000,10.43
2014-01-02,9.93,10.20,9.93,9.98,000,9.93
2013-12-02,9.79,9.93,9.72,9.93,000,9.88
2013-11-01,9.84,9.85,9.65,9.74,000,9.68
2013-10-01,9.44,9.88,9.44,9.87,000,9.81
2013-09-03,8.90,9.56,8.90,9.39,000,9.34
2013-08-01,9.52,9.53,8.64,8.86,000,8.81
2013-07-01,9.46,9.67,9.21,9.47,000,9.42
2013-06-03,10.03,10.04,9.17,9.44,000,9.39
2013-05-01,10.05,10.22,10.05,10.06,000,10.00
2013-04-30,10.05,10.05,10.05,10.05,000,9.99
