Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,26.85,26.85,26.85,26.85,000,26.85
2014-12-01,26.71,27.13,25.16,26.46,000,26.46
2014-11-03,25.72,26.69,25.66,26.69,000,26.50
2014-10-01,24.55,25.76,23.98,25.76,000,25.57
2014-09-02,24.67,25.45,24.36,24.67,000,24.49
2014-08-01,22.74,24.17,22.62,24.16,000,23.99
2014-07-01,22.36,23.39,22.15,23.08,000,22.91
2014-06-02,21.40,22.13,21.33,22.13,000,21.97
2014-05-01,18.50,21.37,18.50,21.12,000,20.97
2014-04-01,18.51,18.71,18.31,18.49,000,18.36
2014-03-03,16.42,18.65,16.42,18.65,000,18.52
2014-02-03,15.37,16.49,15.37,16.49,000,16.37
2014-01-02,15.92,16.36,15.39,15.58,000,15.47
2013-12-02,16.05,16.52,15.73,16.28,000,16.16
2013-11-01,16.32,16.48,15.34,15.95,000,15.65
2013-10-01,14.95,16.27,14.93,16.27,000,15.96
2013-09-03,12.54,15.36,12.54,14.89,000,14.61
2013-08-01,15.26,15.26,12.35,13.07,000,12.82
2013-07-01,15.92,16.29,15.23,15.23,000,14.94
2013-06-03,17.53,17.55,15.14,15.79,000,15.49
2013-05-01,17.96,18.40,17.61,17.61,000,17.28
2013-04-01,17.18,18.01,16.71,18.01,000,17.67
2013-03-01,16.90,17.51,16.80,17.12,000,16.80
2013-02-01,17.84,17.84,16.93,16.93,000,16.61
2013-01-02,17.72,17.83,17.47,17.83,000,17.49
2012-12-03,17.79,18.09,17.20,17.51,000,17.18
2012-11-01,17.53,17.86,16.89,17.86,000,17.17
2012-10-01,17.84,18.35,17.36,17.36,000,16.69
2012-09-04,15.65,17.75,15.48,17.75,000,17.06
2012-08-01,15.45,15.92,15.35,15.58,000,14.98
2012-07-02,15.55,15.91,14.99,15.28,000,14.69
2012-06-01,14.23,15.52,14.23,15.52,000,14.92
2012-05-01,16.11,16.11,14.24,14.39,000,13.83
2012-04-02,16.95,17.12,16.03,16.10,000,15.47
2012-03-01,17.12,17.42,16.39,16.83,000,16.18
2012-02-01,16.56,17.68,16.56,17.21,000,16.54
2012-01-03,13.88,16.28,13.88,16.28,000,15.65
