Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,158.35,168.16,155.59,164.32,2502700,164.32
2014-11-03,153.14,160.86,152.98,160.09,2243400,160.09
2014-10-01,141.16,154.44,130.60,153.77,3825900,152.95
2014-09-02,143.30,147.87,140.66,141.68,2592900,140.92
2014-08-01,140.15,145.39,138.43,144.00,2027100,143.23
2014-07-01,143.41,146.43,140.60,140.89,2131100,139.31
2014-06-02,142.27,145.53,141.61,143.24,1787200,141.63
2014-05-01,139.50,143.37,138.65,142.55,2495300,140.95
2014-04-01,135.88,139.52,132.02,139.09,2634000,136.69
2014-03-03,133.07,135.87,129.70,135.66,2996700,133.32
2014-02-03,128.22,135.20,123.61,134.73,3447800,132.40
2014-01-02,138.05,139.29,126.42,128.19,3051600,125.15
2013-12-02,131.67,140.43,125.15,140.25,3582300,136.93
2013-11-01,126.76,134.16,124.86,133.51,2392800,130.35
2013-10-01,119.69,126.38,116.65,125.85,2464400,122.27
2013-09-03,114.57,122.27,112.85,119.41,2766100,116.01
2013-08-01,118.38,119.26,112.36,113.58,2102400,110.35
2013-07-01,108.37,118.60,108.21,117.43,2509700,113.46
2013-06-03,110.70,113.25,107.15,109.35,2836200,105.66
2013-05-01,104.78,112.38,104.42,110.27,2978600,106.54
2013-04-01,106.00,108.72,102.89,104.71,3227200,100.60
2013-03-01,103.39,106.88,102.59,106.31,2620200,102.14
2013-02-01,101.44,104.56,100.58,104.00,2672300,99.92
2013-01-02,94.19,101.95,93.96,100.55,3160800,96.01
2012-12-03,91.41,94.14,89.60,92.85,2871500,88.66
2012-11-01,87.94,91.97,86.74,90.95,2883600,86.84
2012-10-01,92.90,95.46,87.41,87.60,3429300,83.09
2012-09-04,92.03,94.10,90.46,92.42,3558500,87.66
2012-08-01,91.65,94.30,89.23,92.60,2203600,87.84
2012-07-02,89.29,92.08,85.34,91.23,3226500,85.99
2012-06-01,83.05,89.60,81.99,89.60,3337800,84.45
2012-05-01,89.13,89.95,82.95,84.41,2889400,79.56
2012-04-02,88.79,89.75,84.44,89.36,2823200,83.65
2012-03-01,87.72,90.00,84.83,89.21,2859100,83.51
2012-02-01,87.52,88.46,86.69,87.60,2993300,82.00
2012-01-03,83.76,87.99,82.70,86.71,3691900,80.62
