Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,21.56,21.56,21.56,21.56,000,21.56
2014-12-01,21.78,21.85,21.04,21.46,000,21.46
2014-11-03,21.67,21.94,21.51,21.93,000,21.85
2014-10-01,21.91,21.97,21.22,21.67,000,21.59
2014-09-02,22.48,22.63,21.93,21.97,000,21.89
2014-08-01,21.60,22.32,21.56,22.31,000,22.22
2014-07-01,21.62,22.02,21.62,21.71,000,21.63
2014-06-02,20.80,21.57,20.80,21.57,000,21.49
2014-05-01,20.11,20.81,20.09,20.81,000,20.73
2014-04-01,20.41,20.51,20.01,20.07,000,19.99
2014-03-03,19.85,20.31,19.77,20.17,000,20.09
2014-02-03,18.56,19.82,18.56,19.82,000,19.74
2014-01-02,19.19,19.19,18.53,18.70,000,18.63
2013-12-02,19.54,19.54,19.01,19.34,000,19.27
2013-11-01,19.55,19.55,19.13,19.44,000,19.27
2013-10-01,18.65,19.57,18.65,19.57,000,19.40
2013-09-03,17.68,19.01,17.68,18.59,000,18.43
2013-08-01,18.96,19.12,16.99,17.55,000,17.40
2013-07-01,18.91,19.33,18.43,18.79,000,18.63
2013-06-03,19.95,19.95,17.87,18.75,000,18.59
2013-05-01,19.40,20.29,19.40,20.02,000,19.85
2013-04-01,19.10,19.44,18.74,19.44,000,19.27
2013-03-01,18.86,19.13,18.74,19.08,000,18.92
2013-02-01,18.52,18.89,18.50,18.87,000,18.71
2013-01-02,18.23,18.44,18.14,18.33,000,18.17
2012-12-03,17.69,18.13,17.61,18.13,000,17.97
2012-11-01,17.34,17.72,17.24,17.72,000,17.40
2012-10-01,17.20,17.57,17.14,17.16,000,16.85
2012-09-04,16.24,17.17,16.12,17.17,000,16.86
2012-08-01,15.81,16.10,15.73,16.10,000,15.81
2012-07-02,15.64,15.89,15.41,15.65,000,15.37
2012-06-01,15.25,15.69,15.09,15.69,000,15.41
2012-05-01,16.65,16.89,15.34,15.60,000,15.32
2012-04-02,16.90,16.96,16.41,16.63,000,16.33
2012-03-01,17.03,17.20,16.54,16.87,000,16.57
2012-02-01,16.17,17.00,16.17,16.97,000,16.67
2012-01-03,14.82,16.01,14.77,16.01,000,15.72
