Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,217.46,233.67,216.04,231.15,856700,231.15
2014-11-03,204.05,219.54,197.27,218.82,947700,218.82
2014-10-01,196.50,204.50,171.56,203.69,1388300,203.03
2014-09-02,206.39,206.54,196.38,196.74,582600,196.10
2014-08-01,196.98,206.85,196.50,205.86,466300,205.19
2014-07-01,210.22,211.66,198.34,198.36,628900,197.05
2014-06-02,201.81,213.01,200.07,210.15,602800,208.76
2014-05-01,193.15,202.88,192.18,201.61,575900,200.27
2014-04-01,195.08,201.59,185.18,193.62,901600,191.69
2014-03-03,193.23,201.29,188.03,193.46,763000,191.53
2014-02-03,182.51,198.15,173.83,197.82,1025300,195.85
2014-01-02,189.50,192.23,180.43,182.36,1171100,179.95
2013-12-02,184.34,190.07,180.32,189.66,785500,187.16
2013-11-01,182.80,186.89,179.35,184.06,644600,181.63
2013-10-01,167.13,187.28,160.76,182.58,895400,179.57
2013-09-03,158.54,172.21,156.35,167.06,610000,164.30
2013-08-01,156.26,165.64,155.27,156.21,613100,153.63
2013-07-01,147.05,162.26,144.58,160.44,741500,157.20
2013-06-03,154.47,157.22,145.21,146.41,835100,143.45
2013-05-01,145.82,160.83,145.11,153.61,675100,150.50
2013-04-01,133.65,148.56,130.56,147.14,1143200,143.59
2013-03-01,133.64,143.50,131.95,133.94,1073600,130.71
2013-02-01,139.35,140.92,128.20,134.66,3798500,131.41
2013-01-02,138.34,147.99,136.20,137.87,5041700,133.96
2012-12-03,124.99,136.79,118.75,135.35,1959200,131.51
2012-11-01,118.68,128.42,113.81,124.27,937500,120.75
2012-10-01,115.28,120.00,113.39,117.08,772000,113.21
2012-09-04,109.70,119.86,107.43,114.84,970400,111.05
2012-08-01,109.93,111.87,105.87,110.02,836700,106.39
2012-07-02,106.31,114.62,99.12,109.46,1313500,105.29
2012-06-01,100.38,106.89,96.74,106.12,1045800,102.07
2012-05-01,105.07,107.95,97.09,103.44,1295200,99.50
2012-04-02,95.64,106.40,91.85,105.24,2024300,100.67
2012-03-01,91.49,96.40,90.04,95.80,939800,91.64
2012-02-01,90.72,93.67,89.35,91.25,903200,87.29
2012-01-03,85.30,90.89,83.27,89.58,949800,85.15
