Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,10.01,10.83,9.73,10.56,14929100,10.56
2014-11-03,9.89,10.29,9.88,10.07,12865300,10.02
2014-10-01,10.03,10.14,8.85,9.93,21160300,9.88
2014-09-02,10.18,10.63,9.95,10.04,15231100,9.99
2014-08-01,10.08,10.31,9.65,10.15,10833300,10.05
2014-07-01,10.69,10.96,9.94,10.14,13481400,10.04
2014-06-02,10.18,10.91,10.15,10.62,14622300,10.52
2014-05-01,10.19,10.56,9.80,10.19,12598100,10.04
2014-04-01,11.12,11.28,9.96,10.14,15108300,9.99
2014-03-03,10.56,11.54,10.46,11.11,16875600,10.95
2014-02-03,10.19,10.77,9.79,10.64,13078600,10.46
2014-01-02,9.86,11.08,9.83,10.17,20466900,10.00
2013-12-02,9.74,9.93,9.35,9.89,12371500,9.72
2013-11-01,9.62,9.98,9.25,9.73,13780200,9.53
2013-10-01,9.26,10.13,9.19,9.63,20971900,9.44
2013-09-03,9.53,9.75,8.84,9.26,16201000,9.07
2013-08-01,10.12,10.31,9.34,9.40,13884900,9.18
2013-07-01,9.62,10.52,9.61,10.01,18943000,9.78
2013-06-03,9.16,9.71,8.82,9.53,20118700,9.31
2013-05-01,8.46,9.48,8.37,9.13,14355400,8.89
2013-04-01,8.19,8.49,7.62,8.49,15276100,8.27
2013-03-01,7.60,8.44,7.55,8.19,16681400,7.97
2013-02-01,7.84,8.00,7.42,7.65,15172300,7.44
2013-01-02,7.32,7.88,7.13,7.78,20411800,7.57
2012-12-03,6.69,7.19,6.40,7.13,15094500,6.93
2012-11-01,6.54,6.82,6.19,6.67,18635600,6.48
2012-10-01,7.25,7.72,6.36,6.52,25414900,6.33
2012-09-04,6.97,7.73,6.90,7.20,19624500,6.99
2012-08-01,7.01,7.24,6.68,6.96,13485600,6.75
2012-07-02,6.82,7.17,6.22,6.96,20864100,6.75
2012-06-01,6.10,6.80,5.46,6.75,22624000,6.55
2012-05-01,6.77,6.98,6.08,6.29,22309800,6.09
2012-04-02,6.56,6.92,5.91,6.74,25292800,6.53
2012-03-01,5.82,6.69,5.61,6.59,36117000,6.38
2012-02-01,5.32,6.08,5.23,5.76,19490800,5.57
2012-01-03,4.39,5.46,4.21,5.22,23875000,5.04
