Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,82.13,82.98,80.89,81.44,6886000,81.44
2014-12-01,81.00,84.20,78.44,82.05,5220400,82.05
2014-11-03,75.97,81.64,75.47,81.21,3875200,81.21
2014-10-01,75.68,77.67,70.77,75.56,5829900,75.25
2014-09-02,77.70,77.98,73.78,75.46,4154900,75.15
2014-08-01,77.50,78.47,76.16,77.81,3056700,77.49
2014-07-01,77.89,80.64,77.12,77.68,4146800,77.10
2014-06-02,73.22,78.35,73.16,77.38,3976800,76.80
2014-05-01,70.75,73.78,69.14,73.24,4103900,72.69
2014-04-01,73.64,74.98,67.93,70.62,5649500,69.84
2014-03-03,70.01,78.64,70.00,73.38,5990500,72.57
2014-02-03,71.00,75.19,68.67,70.96,7429700,70.17
2014-01-02,78.07,78.27,70.87,71.12,7224600,70.07
2013-12-02,81.49,81.69,75.91,78.39,4588900,77.23
2013-11-01,81.54,82.50,79.00,81.46,4504800,80.25
2013-10-01,76.98,81.62,74.45,81.05,4901600,79.59
2013-09-03,71.70,77.84,70.93,76.97,3958700,75.59
2013-08-01,72.27,74.27,69.86,70.52,3471000,69.25
2013-07-01,66.09,73.52,65.82,71.29,5193300,69.81
2013-06-03,63.26,67.48,62.31,65.51,5319700,64.15
2013-05-01,60.55,64.93,59.60,63.14,4058800,61.83
2013-04-01,57.13,60.92,56.65,60.84,5002000,59.38
2013-03-01,54.63,58.97,54.00,56.95,5693300,55.58
2013-02-01,56.57,57.10,52.52,54.85,5345700,53.53
2013-01-02,54.59,57.27,53.68,56.12,7001500,54.56
2012-12-03,52.14,54.90,49.56,53.63,7970500,52.14
2012-11-01,45.74,52.31,45.39,51.87,8207400,50.43
2012-10-01,50.93,51.30,44.27,45.90,10253000,44.44
2012-09-04,49.45,52.00,48.99,50.71,7637500,49.10
2012-08-01,45.47,50.06,43.04,49.61,9342000,48.04
2012-07-02,53.44,54.28,45.09,45.28,8658900,43.67
2012-06-01,53.11,55.97,51.03,53.32,8195600,51.43
2012-05-01,57.51,58.43,51.43,54.89,8386300,52.94
2012-04-02,56.03,62.00,55.96,57.37,11060200,55.16
2012-03-01,48.69,56.55,48.10,55.89,7081300,53.74
2012-02-01,48.34,49.36,47.41,48.56,4728800,46.69
2012-01-03,46.85,48.62,45.28,47.92,6424800,45.92
