Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,179.04,182.25,174.25,178.00,9900,178.00
2014-11-03,181.00,182.75,176.07,179.42,9500,172.53
2014-10-01,169.19,181.22,158.17,180.80,12500,173.86
2014-09-02,178.35,179.64,169.39,170.13,6400,163.60
2014-08-01,170.71,178.43,169.18,177.40,7700,170.28
2014-07-01,181.98,185.08,171.01,171.01,10000,164.15
2014-06-02,172.92,182.50,170.38,181.16,11600,173.89
2014-05-01,172.00,174.54,164.68,172.59,9400,165.36
2014-04-01,179.26,182.41,168.23,171.93,13000,164.73
2014-03-03,178.42,184.53,174.30,178.75,11200,171.26
2014-02-03,171.05,180.35,164.00,178.83,15800,171.12
2014-01-02,178.60,179.92,169.66,171.45,19800,164.06
2013-12-02,177.21,180.20,170.55,178.96,16200,171.24
2013-11-01,169.37,177.73,166.70,177.37,8800,169.40
2013-10-01,162.97,172.62,157.83,169.51,10600,161.89
2013-09-03,157.52,163.73,153.64,162.80,8900,155.48
2013-08-01,157.54,159.70,153.55,153.95,11500,146.79
2013-07-01,147.37,158.00,147.37,156.34,12500,149.07
2013-06-03,146.83,149.61,141.20,145.91,8000,139.12
2013-05-01,139.96,150.64,137.63,146.86,10300,139.74
2013-04-01,141.11,141.31,132.80,140.35,11500,133.55
2013-03-01,134.87,141.88,133.89,141.18,13500,134.34
2013-02-01,135.13,138.90,132.90,136.11,3300,129.33
2013-01-02,129.30,136.21,129.24,134.15,7900,127.46
2012-12-03,124.62,127.10,122.49,126.35,3300,120.05
2012-11-01,123.13,124.27,115.00,123.59,2500,116.64
2012-10-01,126.79,127.19,121.08,122.71,3000,115.81
2012-09-04,124.07,131.46,123.76,126.08,5300,118.99
2012-08-01,118.18,125.35,116.56,124.12,5000,116.89
2012-07-02,121.22,123.25,115.50,120.00,1400,113.01
2012-06-01,114.39,121.24,112.38,121.24,2600,114.18
2012-05-01,125.06,125.06,114.52,116.23,3300,109.17
2012-04-02,123.83,125.83,118.20,123.37,3100,115.88
2012-03-01,122.11,126.26,118.12,124.36,2700,116.81
2012-02-01,119.23,123.64,119.23,121.35,8500,113.67
2012-01-03,114.61,118.82,111.21,117.64,5900,110.19
