Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,28.80,29.26,24.68,24.97,000,24.97
2014-11-03,28.15,28.85,27.98,28.85,000,28.85
2014-10-01,26.68,28.19,25.28,28.19,000,28.19
2014-09-02,27.03,27.43,26.86,26.94,000,26.94
2014-08-01,25.82,27.00,25.36,27.00,000,27.00
2014-07-01,26.32,26.56,25.64,25.87,000,25.87
2014-06-02,25.20,26.00,25.19,25.93,000,25.93
2014-05-01,24.53,25.15,24.21,25.15,000,25.15
2014-04-01,24.64,24.72,23.31,24.47,000,24.47
2014-03-03,24.53,25.03,24.04,24.44,000,24.44
2014-02-03,22.91,24.82,22.91,24.80,000,24.80
2014-01-02,23.12,24.12,23.12,23.37,000,23.37
2013-12-02,25.52,25.52,22.44,23.29,000,23.29
2013-11-01,24.67,25.55,24.34,25.51,000,23.03
2013-10-01,23.77,24.93,23.02,24.57,000,22.19
2013-09-03,22.77,23.94,22.77,23.49,000,21.21
2013-08-01,23.62,23.67,22.61,22.61,000,20.42
2013-07-01,21.97,23.48,21.86,23.45,000,21.17
2013-06-03,22.11,22.38,21.42,21.82,000,19.70
2013-05-01,21.68,22.70,21.68,22.04,000,19.90
2013-04-01,21.36,22.09,21.36,21.93,000,19.80
2013-03-01,20.30,21.38,20.30,21.38,000,19.31
2013-02-01,20.05,20.21,19.79,20.18,000,18.22
2013-01-02,18.77,19.95,18.76,19.89,000,17.96
2012-12-03,20.96,21.03,18.22,18.43,000,16.64
2012-11-01,20.59,20.99,20.02,20.97,000,16.68
2012-10-01,20.97,21.39,20.59,20.59,000,16.38
2012-09-04,20.12,20.99,20.12,20.86,000,16.59
2012-08-01,19.56,20.07,19.35,20.04,000,15.94
2012-07-02,19.30,19.82,19.01,19.64,000,15.62
2012-06-01,17.82,18.95,17.82,18.81,000,14.96
2012-05-01,19.25,19.25,18.19,18.19,000,14.47
2012-04-02,19.27,19.29,18.50,19.26,000,15.32
2012-03-01,18.65,19.15,18.25,19.12,000,15.21
2012-02-01,18.38,18.68,18.31,18.53,000,14.74
2012-01-03,17.79,18.17,17.68,18.14,000,14.43
