Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,92.79,98.24,90.57,94.33,1307700,94.33
2014-11-03,87.36,93.86,86.74,92.91,1138800,92.57
2014-10-01,81.03,88.21,77.87,87.53,1740800,87.21
2014-09-02,83.61,84.62,80.73,80.75,1196800,80.46
2014-08-01,79.70,83.48,78.91,83.31,1234200,82.70
2014-07-01,84.99,85.91,79.70,79.77,1511100,79.18
2014-06-02,84.73,86.93,83.28,84.32,1406100,83.70
2014-05-01,77.74,85.61,77.12,84.49,1707300,83.57
2014-04-01,81.88,84.85,75.78,77.75,1945300,76.90
2014-03-03,79.45,82.30,78.75,81.47,1398500,80.58
2014-02-03,77.84,83.86,76.21,80.24,2184200,79.06
2014-01-02,75.12,79.24,74.02,77.60,1717700,76.46
2013-12-02,74.32,75.55,71.22,75.14,1294100,74.04
2013-11-01,74.25,75.50,72.54,74.42,1189500,73.03
2013-10-01,67.74,74.86,66.93,73.86,1581900,72.48
2013-09-03,67.63,71.94,66.52,67.59,1486900,66.33
2013-08-01,70.89,71.55,66.44,66.89,1041500,65.39
2013-07-01,64.85,71.32,63.71,70.46,1324900,68.88
2013-06-03,66.40,68.22,63.83,64.68,1349400,63.23
2013-05-01,65.49,70.00,65.12,66.39,1441400,64.63
2013-04-01,65.10,67.15,63.35,65.58,1777900,63.85
2013-03-01,63.73,66.92,63.18,65.24,1618000,63.52
2013-02-01,62.35,64.46,61.53,63.88,1699400,61.94
2013-01-02,55.54,63.99,55.24,62.65,2162300,60.74
2012-12-03,54.48,56.75,53.93,54.82,1941900,53.15
2012-11-01,52.60,55.08,51.81,54.16,1922900,52.26
2012-10-01,55.50,55.50,51.60,52.60,2540600,50.76
2012-09-04,54.25,56.80,52.83,55.66,2189200,53.71
2012-08-01,52.36,55.07,50.96,53.26,1582200,51.20
2012-07-02,55.00,55.02,50.04,52.03,1752200,50.01
2012-06-01,50.74,55.54,49.43,55.10,1880700,52.97
2012-05-01,54.38,55.13,50.10,51.45,1574600,49.26
2012-04-02,55.67,57.15,52.40,54.57,2005600,52.25
2012-03-01,53.85,55.75,51.74,55.48,1648700,53.12
2012-02-01,54.83,55.90,52.91,53.64,1919200,51.16
2012-01-03,50.65,55.87,50.38,55.43,2641900,52.87
