Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,45.75,46.03,45.18,45.52,2182800,45.52
2014-12-01,48.89,48.98,44.24,45.61,2289100,45.61
2014-11-03,45.55,48.58,45.01,48.29,2839000,48.29
2014-10-01,56.39,56.39,44.50,46.24,2860900,46.24
2014-09-02,54.81,57.42,54.68,56.43,1063100,56.43
2014-08-01,53.23,55.35,51.28,54.70,1314700,54.70
2014-07-01,53.09,53.47,50.74,52.27,893300,52.27
2014-06-02,53.10,54.60,52.60,53.17,1181600,53.17
2014-05-01,54.10,54.64,51.98,53.30,884100,53.30
2014-04-01,51.80,54.23,50.84,53.80,1767700,51.91
2014-03-03,51.84,52.76,49.38,52.28,1292100,50.44
2014-02-03,49.39,52.21,47.06,51.84,2044200,50.02
2014-01-02,51.87,52.31,48.26,48.90,2058600,47.18
2013-12-02,52.18,53.63,49.29,53.63,1191200,51.75
2013-11-01,52.72,54.49,51.48,52.83,1097300,50.97
2013-10-01,50.90,53.94,48.43,53.48,1178200,51.60
2013-09-03,48.26,51.50,46.95,50.63,2242400,48.85
2013-08-01,50.72,52.99,47.75,47.78,3215600,46.10
2013-07-01,52.08,53.53,50.08,51.48,919900,49.67
2013-06-03,53.23,55.47,49.33,51.51,1168800,49.70
2013-05-01,53.21,55.94,52.69,53.09,1307200,51.22
2013-04-01,51.05,54.98,49.96,53.35,3267500,49.75
2013-03-01,46.85,51.29,46.51,51.08,2815400,47.64
2013-02-01,49.08,49.70,44.50,47.21,3139300,44.03
2013-01-02,48.01,49.56,47.43,48.68,1495100,45.40
2012-12-03,44.88,47.97,44.82,47.38,1216500,44.19
2012-11-01,44.80,45.26,42.20,44.62,1452900,41.61
2012-10-01,43.96,45.72,42.52,43.85,1749300,40.89
2012-09-04,40.94,44.97,40.52,43.06,2778700,40.16
2012-08-01,40.90,42.31,39.64,40.95,2071800,38.19
2012-07-02,37.80,41.13,36.53,40.64,3373700,37.90
2012-06-01,33.44,37.80,33.03,37.78,3708800,35.23
2012-05-01,38.30,38.76,33.68,34.03,4310000,31.74
2012-04-02,38.63,39.33,35.98,38.18,4897000,33.95
2012-03-01,37.60,39.19,36.90,38.75,2231200,34.46
2012-02-01,36.91,38.04,36.31,37.03,2833900,32.93
2012-01-03,36.98,37.58,34.92,37.13,4064700,33.02
