Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,64.29,64.76,63.69,64.34,823600,64.34
2014-12-01,66.25,66.49,61.31,64.24,340400,64.24
2014-11-03,61.63,66.83,60.88,65.79,223100,65.79
2014-10-01,62.02,62.32,58.72,62.00,625700,62.00
2014-09-02,71.52,72.23,63.25,63.37,326800,63.37
2014-08-01,70.93,72.84,70.41,72.11,178600,72.11
2014-07-01,74.09,75.03,70.61,70.94,378400,70.94
2014-06-02,77.07,79.85,72.36,74.80,403400,74.80
2014-05-01,78.73,78.92,76.69,77.10,131000,77.10
2014-04-01,75.79,79.14,74.93,78.55,274200,76.29
2014-03-03,74.18,76.45,72.26,75.78,288600,73.60
2014-02-03,70.76,74.29,67.25,72.62,408600,70.53
2014-01-02,78.30,80.25,70.29,70.83,250800,68.79
2013-12-02,77.78,80.16,75.35,79.94,169900,77.64
2013-11-01,79.87,80.95,76.97,78.41,140100,76.15
2013-10-01,80.20,83.03,76.50,80.75,292700,78.42
2013-09-03,79.31,83.05,78.17,81.30,173200,78.96
2013-08-01,79.69,80.90,77.75,78.38,118000,76.12
2013-07-01,77.44,83.57,77.33,79.04,202800,76.76
2013-06-03,78.26,79.94,74.41,77.86,212300,75.62
2013-05-01,85.15,85.60,77.44,77.84,183400,75.60
2013-04-01,83.54,85.50,80.86,85.50,269400,83.04
2013-03-01,84.53,87.46,82.61,83.75,222600,79.37
2013-02-01,87.42,87.73,82.73,84.97,187000,80.53
2013-01-02,81.47,87.24,80.08,86.09,208800,81.59
2012-12-03,80.86,83.19,78.70,80.80,193000,76.58
2012-11-01,78.16,80.65,73.68,79.97,156000,75.79
2012-10-01,75.66,78.50,73.29,77.96,180200,73.88
2012-09-04,67.92,75.58,67.50,74.85,175100,70.94
2012-08-01,68.42,70.10,67.01,67.60,112400,64.07
2012-07-02,67.23,69.99,63.54,68.04,307300,64.48
2012-06-01,62.94,68.44,61.47,68.44,228100,64.86
2012-05-01,70.20,71.20,63.00,64.31,261900,60.95
2012-04-02,69.54,71.48,66.67,70.03,351600,66.37
2012-03-01,65.82,69.07,61.73,68.83,272000,63.63
2012-02-01,61.64,66.90,61.64,65.34,266200,60.41
2012-01-03,60.27,62.84,58.02,60.70,259700,56.12
