Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,27.30,27.44,26.03,26.04,000,26.04
2014-11-03,26.80,27.50,26.69,27.38,000,27.38
2014-10-01,27.40,27.40,25.71,26.92,000,26.92
2014-09-02,27.94,28.09,27.51,27.55,000,27.55
2014-08-01,27.34,27.90,27.08,27.87,000,27.87
2014-07-01,27.99,28.21,27.45,27.45,000,27.45
2014-06-02,27.98,28.17,27.81,27.88,000,27.88
2014-05-01,27.43,27.96,27.35,27.96,000,27.96
2014-04-01,27.04,27.41,26.81,27.41,000,27.41
2014-03-03,26.53,26.99,26.13,26.99,000,26.99
2014-02-03,25.69,26.93,25.58,26.93,000,26.93
2014-01-02,26.42,26.77,25.88,25.88,000,25.88
2013-12-02,27.43,27.51,26.56,26.62,000,26.62
2013-11-01,27.22,27.52,27.19,27.52,000,26.34
2013-10-01,26.62,27.43,26.18,27.31,000,26.14
2013-09-03,25.86,26.82,25.86,26.54,000,25.40
2013-08-01,26.13,26.43,25.65,25.65,000,24.55
2013-07-01,25.10,25.97,24.97,25.96,000,24.85
2013-06-03,25.45,25.54,24.32,24.94,000,23.87
2013-05-01,25.51,26.27,25.51,25.61,000,24.51
2013-04-01,25.06,25.54,24.81,25.54,000,24.45
2013-03-01,24.66,25.25,24.66,25.11,000,24.03
2013-02-01,24.48,24.70,24.16,24.68,000,23.62
2013-01-02,23.52,24.43,23.52,24.33,000,23.29
2012-12-03,25.55,26.10,23.23,23.24,000,22.24
2012-11-01,24.91,25.46,24.34,25.44,000,21.88
2012-10-01,24.89,25.31,24.72,24.75,000,21.29
2012-09-04,24.36,25.09,24.35,24.64,000,21.19
2012-08-01,24.07,24.61,23.89,24.40,000,20.98
2012-07-02,23.54,24.02,23.37,24.01,000,20.65
2012-06-01,22.10,23.44,22.02,23.44,000,20.16
2012-05-01,23.72,23.72,22.38,22.40,000,19.26
2012-04-02,24.03,24.03,23.20,23.69,000,20.37
2012-03-01,23.38,24.04,23.08,23.79,000,20.46
2012-02-01,22.51,23.27,22.51,23.27,000,20.01
2012-01-03,22.19,22.49,21.82,22.24,000,19.13
