Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,129.34,129.48,121.15,125.29,1371400,125.29
2014-11-03,116.82,129.77,115.61,129.29,1918400,129.14
2014-10-01,122.30,122.31,107.33,117.57,2533900,117.43
2014-09-02,120.89,125.25,120.25,121.70,1514200,121.56
2014-08-01,121.09,122.89,118.71,120.21,1262600,119.92
2014-07-01,118.45,127.21,116.36,121.50,2197500,121.21
2014-06-02,116.99,120.46,115.85,118.00,1831100,117.72
2014-05-01,113.72,119.37,112.75,116.91,1889700,116.49
2014-04-01,120.54,123.37,112.02,114.00,2515600,113.59
2014-03-03,123.07,127.63,116.62,120.24,2202600,119.80
2014-02-03,115.17,125.82,111.21,124.54,3453100,123.94
2014-01-02,110.69,117.68,109.08,115.14,2617500,114.59
2013-12-02,101.09,111.44,99.12,111.35,1565400,110.81
2013-11-01,98.18,103.12,95.52,100.85,1378800,100.22
2013-10-01,92.21,98.52,89.71,97.78,1701000,97.16
2013-09-03,89.97,94.74,89.41,92.15,1612500,91.57
2013-08-01,92.32,92.72,88.13,88.83,1259000,88.13
2013-07-01,85.03,92.29,84.41,91.11,1801800,90.39
2013-06-03,88.82,89.00,81.04,84.63,3336400,83.96
2013-05-01,80.44,89.50,80.27,88.30,2155300,87.44
2013-04-01,76.30,84.55,75.27,80.68,3784100,79.90
2013-03-01,73.28,78.04,72.87,76.49,2056300,75.75
2013-02-01,72.80,75.79,71.60,73.80,2269200,72.94
2013-01-02,64.79,72.48,64.54,72.14,1908100,71.30
2012-12-03,63.89,65.54,62.30,63.78,2187400,63.04
2012-11-01,61.33,63.78,59.61,63.55,1892000,62.67
2012-10-01,59.09,61.99,57.21,61.06,2156700,60.21
2012-09-04,57.27,61.00,56.64,58.83,1726600,58.01
2012-08-01,56.07,57.75,53.77,57.35,1788400,56.43
2012-07-02,52.29,56.46,49.63,55.67,2333500,54.78
2012-06-01,49.55,52.13,48.14,51.91,2240700,51.08
2012-05-01,55.59,56.91,49.92,50.48,2383200,49.54
2012-04-02,56.36,56.71,51.69,55.65,2676100,54.62
2012-03-01,56.92,58.37,54.90,56.38,2326700,55.33
2012-02-01,54.11,57.57,53.00,56.62,2560300,55.44
2012-01-03,45.79,54.09,45.67,52.90,3637900,51.79
