Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,23.32,23.32,23.32,23.32,000,23.32
2014-12-01,25.11,25.28,23.40,23.40,000,23.40
2014-11-03,24.25,25.20,24.12,25.14,000,24.28
2014-10-01,24.74,24.74,22.89,24.56,000,23.72
2014-09-02,25.89,26.13,25.01,25.01,000,24.16
2014-08-01,25.69,26.17,25.15,25.98,000,25.10
2014-07-01,27.25,27.47,25.94,25.94,000,25.06
2014-06-02,26.99,27.27,26.85,27.00,000,26.08
2014-05-01,26.98,27.09,26.56,26.94,000,26.02
2014-04-01,27.36,27.39,25.99,26.95,000,26.03
2014-03-03,26.89,27.66,26.37,27.02,000,26.10
2014-02-03,24.92,27.68,24.92,27.68,000,26.74
2014-01-02,25.75,26.77,25.33,25.33,000,24.47
2013-12-02,25.06,26.09,24.48,26.09,000,25.20
2013-11-01,24.71,25.21,24.48,25.21,000,24.34
2013-10-01,23.71,25.07,23.19,24.79,000,23.93
2013-09-03,22.06,23.71,22.06,23.37,000,22.56
2013-08-01,22.54,22.89,21.72,21.72,000,20.97
2013-07-01,20.90,22.49,20.71,22.32,000,21.55
2013-06-03,21.43,21.62,19.90,20.54,000,19.83
2013-05-01,20.86,21.78,20.86,21.25,000,20.52
2013-04-01,19.90,20.85,19.54,20.85,000,20.13
2013-03-01,19.77,20.47,19.69,19.95,000,19.26
2013-02-01,20.32,20.53,19.48,19.80,000,19.12
2013-01-02,19.61,20.42,19.32,20.32,000,19.62
2012-12-03,18.52,19.35,18.52,19.20,000,18.54
2012-11-01,18.13,18.49,17.26,18.49,000,17.63
2012-10-01,17.48,18.18,17.37,17.89,000,17.06
2012-09-04,16.69,18.01,16.69,17.27,000,16.47
2012-08-01,16.02,16.71,15.86,16.65,000,15.87
2012-07-02,16.28,16.36,15.38,16.05,000,15.30
2012-06-01,14.75,16.10,14.75,16.10,000,15.35
2012-05-01,17.58,17.58,15.14,15.19,000,14.48
2012-04-02,17.94,17.94,16.52,17.48,000,16.67
2012-03-01,17.73,18.05,16.72,17.67,000,16.85
2012-02-01,16.70,17.72,16.70,17.51,000,16.69
2012-01-03,15.90,16.44,15.48,16.32,000,15.56
