Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,59.39,60.52,53.25,53.65,000,53.65
2014-11-03,64.21,66.11,59.45,59.45,000,59.45
2014-10-01,67.55,67.55,61.10,65.34,000,65.34
2014-09-02,73.60,73.97,68.82,68.83,000,68.83
2014-08-01,72.48,74.32,71.65,74.32,000,74.32
2014-07-01,76.71,76.84,72.99,72.99,000,72.99
2014-06-02,73.47,77.57,73.47,76.61,000,76.61
2014-05-01,72.43,73.59,72.30,73.45,000,73.45
2014-04-01,69.20,72.50,68.88,72.50,000,72.50
2014-03-03,67.16,68.80,66.49,68.78,000,68.78
2014-02-03,62.72,67.75,62.72,67.75,000,67.53
2014-01-02,66.28,66.82,63.85,63.85,000,63.64
2013-12-02,68.06,68.07,64.57,67.33,000,67.11
2013-11-01,68.63,69.71,67.54,68.33,000,65.72
2013-10-01,66.35,69.68,65.29,68.96,000,66.32
2013-09-03,64.54,67.31,64.54,66.00,000,63.48
2013-08-01,65.10,65.10,62.94,64.05,000,61.60
2013-07-01,61.36,65.13,61.32,64.28,000,61.82
2013-06-03,63.83,63.83,60.20,61.00,000,58.67
2013-05-01,61.42,65.30,61.42,63.26,000,60.84
2013-04-01,62.15,62.57,58.67,62.29,000,59.91
2013-03-01,61.31,63.53,61.06,62.45,000,60.06
2013-02-01,63.17,63.17,60.23,61.48,000,58.99
2013-01-02,60.19,63.35,60.14,62.66,000,60.12
2012-12-03,59.29,61.42,58.20,59.22,000,56.82
2012-11-01,61.06,61.16,57.68,59.52,000,55.89
2012-10-01,61.65,63.11,60.13,60.55,000,56.85
2012-09-04,59.04,64.24,58.71,61.23,000,57.49
2012-08-01,58.04,60.70,56.88,59.47,000,55.84
2012-07-02,56.42,58.66,55.01,57.82,000,54.29
2012-06-01,51.96,56.31,51.96,56.31,000,52.87
2012-05-01,61.29,61.29,53.25,53.25,000,50.00
2012-04-02,62.20,62.20,58.24,60.67,000,56.97
2012-03-01,66.52,66.52,61.09,61.56,000,57.80
2012-02-01,62.97,66.92,62.97,65.83,000,60.78
2012-01-03,61.94,63.83,60.40,62.60,000,57.79
