Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,55.38,55.43,51.23,52.41,5361800,52.41
2014-11-03,53.70,55.72,53.05,55.29,3347600,54.99
2014-10-01,54.98,55.03,49.81,54.17,8528900,53.88
2014-09-02,57.77,58.39,55.05,55.22,4611800,54.92
2014-08-01,57.10,58.25,55.66,57.78,5332700,57.19
2014-07-01,60.25,60.86,57.34,57.36,3953800,56.78
2014-06-02,61.05,61.89,59.19,59.95,3125100,59.34
2014-05-01,60.56,61.02,59.80,60.98,3025500,59.39
2014-04-01,59.43,60.57,57.57,60.51,3943700,58.94
2014-03-03,59.00,60.63,57.69,58.95,4963600,57.42
2014-02-03,56.11,60.50,55.00,60.23,4655200,57.78
2014-01-02,57.86,59.20,55.81,56.11,5289200,53.83
2013-12-02,57.11,59.13,55.19,58.80,3577400,56.41
2013-11-01,56.43,57.63,55.53,57.36,3894900,54.80
2013-10-01,54.68,57.49,53.31,56.78,4706700,54.24
2013-09-03,51.97,55.81,51.43,54.50,4313000,52.06
2013-08-01,52.18,53.33,50.97,51.04,3574300,48.58
2013-07-01,48.72,52.18,47.79,51.80,2771100,49.30
2013-06-03,51.54,52.10,46.85,48.13,2312300,45.81
2013-05-01,51.35,53.32,50.84,51.37,1760500,47.94
2013-04-01,49.04,51.39,48.10,51.36,1908200,47.93
2013-03-01,48.74,50.89,48.30,49.13,3005300,45.85
2013-02-01,51.35,51.59,48.26,49.20,2287500,45.70
2013-01-02,49.49,51.33,48.76,50.93,2061100,47.30
2012-12-03,47.60,49.38,47.29,48.84,2697800,45.36
2012-11-01,46.40,47.44,43.84,47.20,1786900,43.49
2012-10-01,45.88,47.58,45.27,46.06,1695600,42.44
2012-09-04,45.10,48.90,44.72,45.26,2785300,41.70
2012-08-01,43.32,45.82,41.91,44.98,1467900,40.51
2012-07-02,42.86,43.54,40.12,42.97,2065800,38.70
2012-06-01,38.79,42.83,38.47,42.83,2811900,38.58
2012-05-01,45.10,45.52,39.01,39.56,2301200,35.63
2012-04-02,45.88,46.95,42.83,44.94,1858500,40.48
2012-03-01,46.36,47.39,44.00,46.09,1279800,41.51
2012-02-01,44.36,46.86,44.36,46.06,1438300,41.49
2012-01-03,42.32,44.44,40.67,43.69,1856600,39.35
