Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,54.42,55.95,52.73,54.82,16659600,54.82
2014-11-03,53.22,54.74,52.87,54.48,13122100,54.48
2014-10-01,51.84,53.17,46.44,53.09,19987900,52.74
2014-09-02,51.71,53.80,51.00,51.87,13782200,51.53
2014-08-01,50.50,51.75,49.47,51.44,12003200,51.10
2014-07-01,52.73,53.08,50.61,50.90,16802900,50.21
2014-06-02,50.94,53.05,50.75,52.56,14494100,51.85
2014-05-01,49.74,50.82,48.66,50.78,14215700,50.10
2014-04-01,49.88,50.49,46.72,49.64,18527800,48.62
2014-03-03,46.11,49.97,45.96,49.74,18362800,48.72
2014-02-03,45.31,46.65,44.17,46.42,16814300,45.47
2014-01-02,45.15,46.84,44.91,45.34,19762400,44.11
2013-12-02,44.11,45.64,43.21,45.40,16126400,44.17
2013-11-01,42.72,44.75,41.71,44.02,16260900,42.83
2013-10-01,41.37,43.40,40.07,42.69,19338500,41.24
2013-09-03,41.65,43.83,40.89,41.32,19349200,39.92
2013-08-01,44.19,44.74,40.92,41.08,15294100,39.69
2013-07-01,41.56,44.79,40.79,43.50,21970000,41.74
2013-06-03,40.83,41.74,39.40,41.27,22692600,39.60
2013-05-01,37.90,41.59,37.29,40.55,22208000,38.91
2013-04-01,37.02,38.04,36.19,37.98,22209400,36.16
2013-03-01,34.94,38.20,34.85,36.99,23008600,35.21
2013-02-01,35.06,35.95,34.52,35.08,25441600,33.40
2013-01-02,35.03,35.46,34.43,34.83,25796300,33.16
2012-12-03,33.18,35.19,32.41,34.18,24628100,32.31
2012-11-01,33.75,34.41,31.25,33.01,22106600,31.20
2012-10-01,34.78,36.34,33.50,33.69,30030700,31.64
2012-09-04,34.04,36.60,33.73,34.53,28964600,32.43
2012-08-01,33.92,34.80,32.84,34.03,18738700,31.96
2012-07-02,33.67,34.40,32.62,33.81,24457700,31.55
2012-06-01,31.40,33.44,29.80,33.44,31842500,31.20
2012-05-01,33.55,34.30,30.52,32.05,30377800,29.91
2012-04-02,33.83,34.59,32.43,33.42,26580500,30.98
2012-03-01,31.56,34.59,29.99,34.14,32928300,31.65
2012-02-01,29.63,31.90,29.55,31.29,30415100,28.92
2012-01-03,27.94,31.04,27.94,29.21,36931000,26.89
