Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,45.33,47.30,42.34,43.29,3794200,43.29
2014-11-03,44.42,45.67,42.67,45.44,2242200,45.44
2014-10-01,42.43,45.34,36.24,44.48,5637500,44.19
2014-09-02,42.40,44.82,41.84,42.35,3208700,42.07
2014-08-01,41.10,42.83,40.91,42.25,3060600,41.97
2014-07-01,47.50,49.50,39.12,41.13,5472100,40.58
2014-06-02,46.48,47.69,45.62,47.31,2587200,46.67
2014-05-01,47.28,47.48,44.96,46.96,2665100,46.33
2014-04-01,54.96,55.22,46.40,47.19,4092700,46.55
2014-03-03,51.76,55.59,51.24,54.27,3731200,53.54
2014-02-03,46.18,52.39,44.63,52.20,4657900,51.50
2014-01-02,46.68,48.91,45.05,46.42,3696400,45.54
2013-12-02,44.25,46.00,42.88,45.92,2204100,45.05
2013-11-01,45.68,45.68,42.84,44.43,2835700,43.59
2013-10-01,46.68,47.59,44.08,45.43,3549300,44.32
2013-09-03,43.99,48.12,43.99,46.85,3031700,45.71
2013-08-01,46.79,47.18,43.04,43.42,2989900,42.36
2013-07-01,39.77,46.88,39.32,46.69,3860300,45.31
2013-06-03,40.67,41.36,37.63,39.61,3792600,38.44
2013-05-01,37.88,41.47,37.50,40.65,3277800,39.45
2013-04-01,38.47,38.47,34.98,37.91,3254300,36.55
2013-03-01,37.02,39.24,36.37,38.17,3221500,36.80
2013-02-01,36.59,39.43,36.44,37.27,3429600,35.93
2013-01-02,36.40,37.63,35.33,36.49,3207200,34.97
2012-12-03,34.83,36.44,34.01,35.86,2173700,34.37
2012-11-01,32.93,34.78,32.13,34.65,2852200,33.21
2012-10-01,33.68,34.52,32.12,32.77,2500600,31.20
2012-09-04,33.79,35.81,33.15,33.41,2664700,31.81
2012-08-01,32.45,34.30,32.24,33.91,2520700,32.28
2012-07-02,33.53,33.77,30.25,32.40,3899300,30.64
2012-06-01,31.43,33.58,30.71,33.57,3229600,31.75
2012-05-01,35.94,36.34,31.24,31.97,3945300,30.24
2012-04-02,36.50,37.04,33.47,36.38,3824000,34.18
2012-03-01,36.95,37.37,35.31,36.48,3496500,34.27
2012-02-01,36.16,37.74,35.66,36.93,2917900,34.70
2012-01-03,32.55,36.78,31.81,35.85,4189400,33.51
