Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,49.08,49.63,47.38,48.49,7126900,48.49
2014-11-03,46.64,49.42,46.64,49.30,6284200,48.95
2014-10-01,45.07,46.84,43.69,46.71,12510000,46.38
2014-09-02,45.18,45.73,44.77,45.11,7174300,44.79
2014-08-01,43.08,45.19,42.97,45.13,6267600,44.53
2014-07-01,44.69,45.49,43.11,43.14,7570000,42.56
2014-06-02,44.96,45.71,44.40,44.62,7550200,44.02
2014-05-01,44.15,45.08,43.81,45.04,4840000,44.14
2014-04-01,43.01,44.38,42.70,44.24,7036600,43.35
2014-03-03,42.01,43.11,41.87,43.06,7653400,42.20
2014-02-03,40.71,42.52,39.83,42.35,9178100,41.29
2014-01-02,42.85,42.87,40.32,40.76,13892900,39.74
2013-12-02,43.03,43.38,41.69,42.98,7986700,41.90
2013-11-01,42.36,43.46,42.13,43.01,6665300,41.62
2013-10-01,39.78,42.99,39.56,42.35,9422500,40.98
2013-09-03,39.69,41.84,39.39,39.80,7725400,38.51
2013-08-01,41.60,41.85,39.05,39.51,7435000,37.99
2013-07-01,39.91,41.85,39.48,41.39,7989700,39.80
2013-06-03,40.15,41.88,38.87,39.67,17770600,38.14
2013-05-01,40.89,42.20,40.03,40.05,14202000,38.26
2013-04-01,39.73,41.44,39.50,40.94,10504800,39.11
2013-03-01,37.90,39.80,37.89,39.77,6055300,37.99
2013-02-01,37.12,38.45,36.79,38.09,6919700,36.21
2013-01-02,35.40,37.06,35.29,36.87,5037500,35.05
2012-12-03,36.01,36.45,34.33,34.90,8641600,33.18
2012-11-01,35.46,36.07,33.96,36.04,6342700,33.88
2012-10-01,35.84,36.59,35.14,35.39,5978200,33.27
2012-09-04,35.51,36.40,35.40,35.83,7234000,33.68
2012-08-01,35.79,36.00,35.02,35.46,5504400,33.10
2012-07-02,34.63,35.82,34.45,35.63,5713500,33.26
2012-06-01,33.46,34.77,33.05,34.77,6655700,32.46
2012-05-01,34.18,34.44,33.36,33.78,5380800,31.32
2012-04-02,34.08,34.42,33.42,34.18,6200100,31.69
2012-03-01,33.25,34.15,32.87,34.08,5530600,31.59
2012-02-01,32.16,33.35,32.16,33.23,6646100,30.64
2012-01-03,32.69,32.78,31.84,32.03,8038000,29.54
