Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,71.60,72.97,68.45,72.15,9270000,72.15
2014-11-03,68.26,71.95,66.93,71.81,6391900,71.51
2014-10-01,66.54,68.41,61.68,68.10,8657000,67.82
2014-09-02,68.85,69.33,66.59,66.69,4423200,66.41
2014-08-01,65.70,69.03,65.16,68.82,5377000,68.31
2014-07-01,66.91,68.13,65.84,65.89,6845400,65.40
2014-06-02,65.80,67.26,65.40,66.74,3848300,66.24
2014-05-01,63.92,65.70,62.63,65.68,4571500,64.98
2014-04-01,64.91,66.25,61.84,63.84,6549600,63.16
2014-03-03,66.16,67.85,63.53,64.72,6180800,64.03
2014-02-03,62.76,67.07,61.03,66.84,7411200,65.92
2014-01-02,66.70,66.83,62.43,62.82,7097100,61.96
2013-12-02,65.52,66.85,64.05,66.83,4595100,65.91
2013-11-01,63.71,65.86,62.25,65.60,5190900,64.44
2013-10-01,60.60,63.81,58.45,63.41,6676700,62.29
2013-09-03,58.33,61.75,57.86,60.63,5929000,59.56
2013-08-01,59.86,60.75,57.31,57.68,5011500,56.50
2013-07-01,56.76,59.90,56.50,59.37,5542900,58.15
2013-06-03,56.27,57.38,53.96,56.40,7545100,55.24
2013-05-01,54.52,58.09,54.26,56.12,5317900,54.79
2013-04-01,52.99,54.69,51.95,54.61,5802500,53.32
2013-03-01,50.44,53.05,50.34,53.00,4789100,51.75
2013-02-01,50.47,51.23,49.40,50.93,6112300,49.58
2013-01-02,48.33,50.98,48.07,50.13,5341300,48.80
2012-12-03,47.83,48.40,46.24,47.44,7358300,46.18
2012-11-01,46.25,47.63,44.66,47.53,6543400,45.97
2012-10-01,46.91,47.97,45.43,46.07,5081400,44.56
2012-09-04,45.46,48.01,45.15,46.79,4429500,45.26
2012-08-01,43.83,45.75,43.01,45.55,4559200,43.90
2012-07-02,43.81,44.58,42.45,43.54,6159300,41.97
2012-06-01,42.37,44.33,41.44,43.78,9253700,42.20
2012-05-01,45.72,46.27,41.73,43.10,9621200,41.40
2012-04-02,45.02,46.08,43.42,45.61,7604300,43.81
2012-03-01,43.31,45.56,42.67,45.09,5349500,43.31
2012-02-01,41.40,43.51,41.21,43.19,5249800,41.36
2012-01-03,39.67,41.90,39.23,41.32,4171600,39.56
