Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,114.78,116.66,106.29,107.96,71300,107.96
2014-11-03,111.80,116.36,107.19,115.09,66800,109.59
2014-10-01,105.86,113.15,97.75,111.39,77200,106.07
2014-09-02,104.40,109.56,101.14,106.01,75000,100.94
2014-08-01,94.86,104.01,92.78,103.91,62000,98.73
2014-07-01,104.27,106.76,95.11,95.11,115400,90.36
2014-06-02,99.55,103.91,97.87,103.80,73200,98.62
2014-05-01,95.82,99.36,92.50,99.02,73600,93.95
2014-04-01,93.61,96.03,85.28,95.82,130400,90.92
2014-03-03,97.92,102.80,90.70,93.61,155100,88.82
2014-02-03,91.68,101.63,87.07,99.20,128200,94.00
2014-01-02,87.65,94.49,86.95,91.50,142200,86.70
2013-12-02,88.43,89.01,85.21,87.97,73900,83.36
2013-11-01,78.50,88.58,78.31,88.06,147600,82.07
2013-10-01,77.01,80.17,75.45,78.31,191600,72.99
2013-09-03,75.72,79.06,75.36,76.97,49300,71.74
2013-08-01,76.81,77.81,74.15,75.21,39800,69.99
2013-07-01,71.18,76.63,70.30,76.21,77800,70.92
2013-06-03,69.66,72.90,68.10,70.49,102600,65.60
2013-05-01,65.89,71.19,64.50,69.23,45500,64.24
2013-04-01,63.32,66.13,62.43,66.09,22200,61.33
2013-03-01,61.09,63.28,60.75,63.18,28300,58.63
2013-02-01,60.73,61.81,60.11,61.35,49400,56.87
2013-01-02,56.94,60.61,56.33,60.32,41100,55.91
2012-12-03,56.50,57.18,54.84,55.91,73100,51.83
2012-11-01,56.50,57.42,53.20,56.21,59100,51.88
2012-10-01,59.95,61.00,56.33,56.53,78300,52.18
2012-09-04,59.67,62.43,59.28,59.77,74200,55.17
2012-08-01,58.07,59.20,56.53,58.82,101700,53.75
2012-07-02,59.57,61.06,57.28,57.83,61000,52.84
2012-06-01,54.55,59.40,54.19,59.33,194300,54.21
2012-05-01,58.24,58.24,54.42,55.61,101500,50.72
2012-04-02,57.14,58.61,54.37,58.06,68900,52.95
2012-03-01,56.08,57.46,54.38,57.10,39600,52.07
2012-02-01,52.77,56.56,52.71,55.96,66300,50.94
2012-01-03,52.23,53.63,50.80,52.56,93000,47.85
