Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,27.88,28.27,25.88,25.88,000,25.88
2014-11-03,26.86,27.93,26.85,27.93,000,27.93
2014-10-01,26.27,26.91,25.54,26.91,000,26.91
2014-09-02,26.68,26.76,26.35,26.49,000,26.49
2014-08-01,25.88,26.72,25.85,26.72,000,26.72
2014-07-01,26.44,26.61,25.89,25.89,000,25.89
2014-06-02,26.19,26.38,26.07,26.36,000,26.36
2014-05-01,25.51,26.19,25.43,26.19,000,26.19
2014-04-01,25.43,25.58,24.99,25.58,000,25.58
2014-03-03,24.67,25.31,24.67,25.31,000,25.31
2014-02-03,23.88,24.88,23.88,24.88,000,24.88
2014-01-02,24.97,25.06,24.23,24.31,000,24.31
2013-12-02,25.64,25.83,25.02,25.15,000,25.15
2013-11-01,25.41,25.75,25.41,25.70,000,24.80
2013-10-01,24.49,25.63,24.10,25.33,000,24.44
2013-09-03,24.15,25.00,24.15,24.37,000,23.51
2013-08-01,24.86,25.10,24.11,24.14,000,23.29
2013-07-01,24.02,24.97,23.98,24.65,000,23.78
2013-06-03,24.05,24.24,23.56,23.93,000,23.09
2013-05-01,23.36,24.43,23.36,23.86,000,23.02
2013-04-01,22.99,23.54,22.94,23.46,000,22.64
2013-03-01,22.31,23.00,22.31,23.00,000,22.19
2013-02-01,21.93,22.36,21.78,22.23,000,21.45
2013-01-02,20.99,21.92,20.92,21.80,000,21.03
2012-12-03,20.51,21.04,20.28,20.52,000,19.80
2012-11-01,20.48,20.56,19.82,20.56,000,19.71
2012-10-01,20.74,20.95,20.24,20.29,000,19.45
2012-09-04,20.27,20.84,20.27,20.71,000,19.85
2012-08-01,19.81,20.42,19.67,20.28,000,19.44
2012-07-02,19.95,19.99,19.46,19.86,000,19.04
2012-06-01,18.84,19.89,18.84,19.89,000,19.07
2012-05-01,19.86,19.86,19.11,19.15,000,18.26
2012-04-02,20.20,20.20,19.54,19.85,000,18.93
2012-03-01,19.67,20.11,19.38,20.05,000,19.12
2012-02-01,19.49,19.69,19.42,19.65,000,18.74
2012-01-03,19.02,19.54,19.02,19.30,000,18.40
